policy,family,training_seed,evaluation_seed,n_episodes,return_mean,return_std,discounted_return_mean,discounted_return_std
BC_seed42,BC,42.0,9999,500,9.161331199640518,10.076055894644442,8.754951240305456,8.491060459610607
BC_seed123,BC,123.0,9999,500,8.883292528119778,10.56680227314165,8.515459780640946,8.909776194084358
BC_seed2024,BC,2024.0,9999,500,8.732033637257576,10.585447611277452,8.387742504581457,8.92633957620916
CQL_seed42,CQL,42.0,9999,500,9.309609208416925,10.151858923569662,8.881049335992326,8.558106634211478
CQL_seed123,CQL,123.0,9999,500,9.196062021622696,10.353524809444403,8.782867811253022,8.730792774039607
CQL_seed2024,CQL,2024.0,9999,500,9.291588770484601,10.17948253503514,8.866264402368751,8.579277401693204
random,handcoded,,9999,500,8.987487770352708,4.908234834080836,8.533847531743463,4.233733464598317
greedy_extraction,handcoded,,9999,500,9.094008968598095,10.769225976192768,8.696308682108079,9.084848985798413
conservative,handcoded,,9999,500,12.666684304047688,1.1408190631511756,11.61197581754111,1.0494073020356378
