timestep,mean_reward,total_negative_reward,cumulative_negative_reward_frac
0,1.2090637527996402,0.0,-0.0
1,1.1974142524526734,0.0,-0.0
2,1.18761277106536,0.0,-0.0
3,1.176008198046045,-0.2785660686106384,3.364723737501931e-05
4,1.1417486327745674,-0.7345793728516192,0.00012237508083566155
5,1.0800625858806123,-1.2416697693701175,0.00027235299336375726
6,0.9797399621508391,-2.1510761125189095,0.000532175623343945
7,0.8445835311658834,-3.731424537317787,0.000982884239006651
8,0.6711372125056161,-6.210243770730953,0.0017330026843460462
9,0.46243059324556357,-12.13886925295613,0.003199223668314587
10,0.20649288398207943,-32.48029109049607,0.007122429641613481
11,-0.09705811855361138,-103.92870030511986,0.01967569453379735
12,-0.43875684441792934,-241.78549642088686,0.048880306683748806
13,-0.8220712668043685,-415.71990419395627,0.099093982626764
14,-1.2397024717064355,-620.1672785247263,0.17400230055943944
15,-1.6903062916604954,-845.1531458302477,0.2760860491574862
16,-2.174095932025398,-1087.0479660126991,0.40738761482514474
17,-2.698450001160564,-1349.2250005802819,0.5703568310446882
18,-3.261109544498238,-1630.554772249119,0.7673071048108788
19,-3.8529371243170987,-1926.4685621585493,1.0
