kind,cell,n,min,max,mean,envelope_w1_plus_w3,finite,seed,bc_return,cql_return,bc_crop,bc_supply,bc_penalty,bc_reconstructed,cql_crop,cql_supply,cql_penalty,cql_reconstructed,bc_actions,cql_actions,comparison,observed_difference,ci_lower,ci_upper,ci_contains_zero,p_positive
reward_stats,w1.0_0.0_0.0,30000.0,0.0,1.0,0.3275332249761229,1.0,True,,,,,,,,,,,,,,,,,,,
per_seed,w1.0_0.0_0.0,,,,,,,42.0,7.221370770015093,7.299667952241387,7.221370770015091,19.37473460100934,3.662249336145524,7.221370770015091,7.299667952241382,19.334442655257728,3.8140936069656424,7.299667952241382,"[1115, 4505, 2244, 1738, 398]","[962, 4698, 1994, 2099, 247]",w1.0_0.0_0.0_s42,0.07829718222629559,0.04355528579205109,0.11601543323039631,False,1.0
per_seed,w1.0_0.0_0.0,,,,,,,123.0,6.688241124119389,6.765643471339112,6.688241124119393,19.41567520289155,3.409024954511917,6.688241124119393,6.765643471339111,19.356480598148714,3.6167651923711417,6.765643471339111,"[1477, 4541, 1983, 1616, 383]","[1259, 4894, 1673, 1913, 261]",w1.0_0.0_0.0_s123,0.07740234721972257,0.04827847214107137,0.10713016852666589,False,1.0
per_seed,w1.0_0.0_0.0,,,,,,,2024.0,6.890644017251362,6.941326954380765,6.89064401725136,19.40475691962683,3.5070621910905535,6.89064401725136,6.941326954380764,19.371349994667053,3.632720960286853,6.941326954380764,"[1427, 4406, 2212, 1633, 322]","[1288, 4564, 2052, 1858, 238]",w1.0_0.0_0.0_s2024,0.05068293712940262,0.023051094593213764,0.08157076234898579,False,0.9994
pooled,w1.0_0.0_0.0,,,,,,,,6.933418637128614,7.002212792653755,,,,,,,,,,,w1.0_0.0_0.0_pooled,0.06879415552514026,0.05097378713714211,0.08717788352506203,False,1.0
reward_stats,w1.0_2.0_0.0,30000.0,-9.022700309753418,0.9997447729110718,-0.025155734581257957,1.0,True,,,,,,,,,,,,,,,,,,,
per_seed,w1.0_2.0_0.0,,,,,,,42.0,-0.10312790227595453,0.21133550209213933,7.221370770015091,19.37473460100934,3.662249336145524,-0.1031279022759568,7.142116880351094,19.410872497418104,3.465390689129481,0.21133550209213237,"[1115, 4505, 2244, 1738, 398]","[932, 4893, 1888, 2287, 0]",w1.0_2.0_0.0_s42,0.3144634043680938,-0.01305917571234847,0.6529413209654871,True,0.9712
per_seed,w1.0_2.0_0.0,,,,,,,123.0,-0.12980878490444547,0.09385673325358425,6.688241124119393,19.41567520289155,3.409024954511917,-0.1298087849044416,6.617436340533209,19.433036872581905,3.261789803639816,0.09385673325357757,"[1477, 4541, 1983, 1616, 383]","[1258, 5142, 1613, 1907, 80]",w1.0_2.0_0.0_s123,0.22366551815802968,0.027562702362736936,0.43217479448205104,False,0.9864
per_seed,w1.0_2.0_0.0,,,,,,,2024.0,-0.12348036492974342,0.24551850781629317,6.89064401725136,19.40475691962683,3.5070621910905535,-0.12348036492974668,6.782202407942702,19.44610637319569,3.268341950063206,0.24551850781629003,"[1427, 4406, 2212, 1633, 322]","[1267, 4809, 1997, 1865, 62]",w1.0_2.0_0.0_s2024,0.36899887274603654,0.15775408178747885,0.6015338012441238,False,1.0
pooled,w1.0_2.0_0.0,,,,,,,,-0.11880568403671445,0.18357024772067218,,,,,,,,,,,w1.0_2.0_0.0_pooled,0.3023759317573867,0.15710206765294304,0.44963290091794383,False,1.0
