gw_level,recent_rainfall,crop_water_demand,month_sin,month_cos,extraction_rate,seed,first_action,q_predicted,realized_return,min_gw_level_in_episode,q_quintile,q_quantile_std,q_quantile_min,q_quantile_max
10.333478,0.25810012,0.75980765,0.5,-0.8660254,0.43242136,42,3,3.778335,4.071400513670593,10.333477545036413,4,0.201296,3.5529842,4.5722895
9.872105,0.22412615,0.24019238,0.5,0.8660254,0.4080306,42,1,2.306436,13.724771210658949,9.872104982299517,2,0.17451409,2.1188693,3.056568
4.582292,3.1111908,0.24019238,-0.5,0.8660254,0.20467626,42,1,2.2194157,13.527563316888491,4.582292282312187,0,0.1622187,1.6234701,2.597795
6.378763,0.16711664,0.24019238,0.5,0.8660254,0.4781477,42,1,2.3468492,13.606844351836964,6.378763160642478,3,0.18918985,2.122404,3.1607134
6.257125,4.6940737,0.35,-0.8660254,0.5,0.24536613,42,1,2.461101,13.815548592007259,6.257125129225551,3,0.15279764,2.0787039,2.9495747
9.530687,0.32769564,0.24019238,0.5,0.8660254,0.3853971,42,1,2.294389,13.0166257217239,9.530687763656587,2,0.17087409,2.1016514,3.0209537
8.850535,0.1111027,0.65,0.8660254,-0.5,0.42546394,42,3,3.4157991,0.6524669579600495,8.85053539382052,3,0.22175625,2.8414173,4.1234417
5.750778,0.08642254,0.24019238,0.5,0.8660254,0.11795045,42,1,2.2010336,13.201512176962122,5.75077800656566,0,0.104745544,2.0033612,2.544855
8.741298,0.091204725,0.65,0.8660254,-0.5,0.2574887,42,3,3.5070767,11.759662622611526,8.74129769862405,4,0.20021196,3.2627668,4.3201857
4.651867,0.0,0.24019238,-0.5,0.8660254,0.29893735,42,1,2.259226,13.233025568832659,4.65186693860857,1,0.15126628,1.922885,2.7506394
7.405664,6.1434116,0.65,-0.8660254,-0.5,0.2164809,42,3,3.4144816,8.535486617260386,7.40566405379352,3,0.27397975,2.372706,4.189856
7.928191,1.4811178,0.24019238,-0.5,0.8660254,0.13052727,42,1,2.2435443,12.578712387730565,7.928191018819104,1,0.1205639,2.0043755,2.635984
8.831637,0.024087498,0.65,0.8660254,-0.5,0.10435169,42,3,3.4272354,-2.0139115243899988,8.831637151412083,3,0.35631824,1.7270749,4.2159944
11.177542,0.21884286,0.24019238,0.5,0.8660254,0.23048766,42,1,2.237977,11.676602957495883,11.177541371426198,1,0.14516087,1.8725479,2.7045162
7.937675,1.0819967,0.24019238,-0.5,0.8660254,0.4800763,42,1,2.3044276,13.556213685675536,7.937675158513764,2,0.16804461,2.0683591,2.921259
5.020463,0.7164107,0.2,-2.4492937e-16,1.0,0.48310333,42,1,2.2111478,10.930307286077616,5.020463219720497,0,0.18085437,1.9862014,2.931889
5.765048,0.8168295,0.2,-2.4492937e-16,1.0,0.3385648,42,1,2.1543314,11.35413917053186,5.765047862128667,0,0.16518284,1.9056548,2.763154
5.5998306,7.262156,0.35,-0.8660254,0.5,0.38568604,42,1,2.4569945,15.091224990404502,5.599830603447388,3,0.17167434,2.0236936,3.0169892
5.911346,0.027201125,0.24019238,0.5,0.8660254,0.14226118,42,1,2.2038064,10.443166896625476,5.911345916454364,0,0.10817469,1.9911548,2.5557022
3.3899024,0.58821136,0.2,-2.4492937e-16,1.0,0.19636115,42,1,2.0425901,10.099008570746774,3.389902263738504,0,0.20095532,1.1700699,2.4222858
9.628328,0.2843643,0.75980765,0.5,-0.8660254,0.4429419,42,3,3.789908,-5.645520634932119,9.628327937024295,4,0.20297782,3.5625203,4.596818
5.5111995,2.9837005,0.24019238,-0.5,0.8660254,0.1930276,42,1,2.2199547,12.74423873328074,5.511199277821069,0,0.15356539,1.6986701,2.592067
3.5467215,5.9230156,0.35,-0.8660254,0.5,0.32825887,42,1,2.4403567,15.970270182365452,3.5467215394954814,3,0.15904884,2.0473106,2.955384
5.4945903,0.33760262,0.24019238,0.5,0.8660254,0.41814768,42,1,2.3232472,15.236511638830189,5.494590047860597,2,0.19482544,2.10885,3.1669033
8.851126,0.13829158,0.65,0.8660254,-0.5,0.41692024,42,3,3.411039,1.6975241746977403,8.851126102493222,3,0.22038056,2.849731,4.1138587
7.9549685,1.6578306,0.24019238,-0.5,0.8660254,0.2924599,42,1,2.252335,14.034001268018049,7.954968420069924,1,0.14900434,1.9858514,2.7427306
4.511515,4.9562516,0.24019238,-0.5,0.8660254,0.1955576,42,1,2.2170405,13.531928481602293,4.511515378130591,0,0.16038892,1.6272238,2.582412
13.333217,0.2600422,0.24019238,0.5,0.8660254,0.2631764,42,1,2.2478426,10.359406180641368,13.333216867668432,1,0.15573552,1.9275948,2.812971
7.9396663,1.3258476,0.24019238,-0.5,0.8660254,0.46225658,42,1,2.329388,12.341671480541835,7.939666080115004,2,0.17703085,2.0774465,3.0007
3.948102,5.1472344,0.24019238,-0.5,0.8660254,0.2288333,42,1,2.2283952,11.95616768170612,3.948101924081464,1,0.1535388,1.724403,2.6334505
12.539951,4.442199,0.65,-0.8660254,-0.5,0.4394019,42,3,3.3725717,5.437125362117516,12.53995167344918,3,0.23369454,2.616958,4.0910945
5.9010496,0.107246906,0.24019238,0.5,0.8660254,0.23520954,42,1,2.2069657,10.6465642561234,5.901049565992124,0,0.12869449,1.9611964,2.638241
5.485277,13.609974,0.35,-0.8660254,0.5,0.16506489,42,1,2.4782166,14.757200584348817,5.485277006872489,3,0.16713642,1.9080904,2.916945
11.457476,0.039301813,0.75980765,0.5,-0.8660254,0.20025983,42,3,3.7286127,-15.14651288518191,11.457475399529825,4,0.18062034,3.5378191,4.4847603
4.8261623,0.1622342,0.2,-2.4492937e-16,1.0,0.3789541,42,1,2.1960576,12.320017580465027,4.8261622279480285,0,0.17947559,2.0056098,2.9253886
4.809984,0.27677694,0.2,-2.4492937e-16,1.0,0.1744713,42,1,2.037583,13.48826830830209,4.809984193173939,0,0.18583985,1.2717829,2.4062126
4.34108,0.5750321,0.2,-2.4492937e-16,1.0,0.390528,42,1,2.20838,15.316549483705,4.341080228214673,0,0.18508855,2.0233698,2.973246
5.450378,0.17421424,0.24019238,0.5,0.8660254,0.29312122,42,1,2.231408,12.121404638506524,5.450377901635469,1,0.15029658,1.9130132,2.7350912
4.4549704,0.35950255,0.24019238,0.5,0.8660254,0.4415885,42,1,2.3590596,12.12480743562308,4.454970370916634,3,0.2102433,2.134476,3.2809038
5.803179,0.063859664,0.24019238,0.5,0.8660254,0.1547587,42,1,2.2045016,11.36397975003568,5.803178907942381,0,0.1104912,1.9854681,2.5581636
5.471963,2.5051677,0.24019238,-0.5,0.8660254,0.3151583,42,1,2.2616973,13.14961616066082,5.471962993909838,1,0.1539875,1.9446676,2.7698982
5.1484847,0.095977806,0.24019238,0.5,0.8660254,0.4782691,42,1,2.3696592,11.291131717995393,5.148484650631939,3,0.1978751,2.142149,3.2290683
5.0856557,0.38026896,0.24019238,0.5,0.8660254,0.3288747,42,1,2.2501829,14.059518173655977,5.085655866941433,1,0.166178,1.9132175,2.8367877
4.4378357,0.17873363,0.24019238,0.5,0.8660254,0.1776373,42,1,2.188425,12.416544331540459,4.43783561902679,0,0.121000975,1.8729707,2.5293403
5.4760833,0.0,0.35,-0.8660254,0.5,0.36513206,42,1,2.451557,14.345442003302535,5.476083161704046,3,0.15927087,2.1171267,2.9892495
4.6622324,0.36442056,0.24019238,0.5,0.8660254,0.16272615,42,1,2.1924436,15.532662764543208,4.662232232972826,0,0.11192733,1.9624825,2.5278683
3.8649747,0.15873395,0.24019238,0.5,0.8660254,0.20068006,42,1,2.170325,13.256913900503129,3.8649746958834825,0,0.13588007,1.7426662,2.5323691
5.9218473,0.118756354,0.24019238,0.5,0.8660254,0.3069473,42,1,2.2401476,15.117479500115287,5.921847261956375,1,0.1538454,1.9344332,2.7701445
6.7412663,0.014692952,0.24019238,0.5,0.8660254,0.24573113,42,1,2.2212448,12.177193371613463,6.741266452122124,0,0.13122244,1.9962506,2.6772141
7.9896894,0.83335,0.24019238,-0.5,0.8660254,0.11653968,42,1,2.2452545,12.582349405771142,7.989689277996177,1,0.11937364,2.0126743,2.6363983
10.696668,0.0070097023,0.5,1.0,6.123234e-17,0.19516923,42,2,3.0119748,9.69136820153372,10.696667768984842,3,0.16118921,2.5616474,3.4481173
5.045212,6.8308735,0.24019238,-0.5,0.8660254,0.2167492,42,1,2.2276952,11.559724760286905,5.045211673644862,1,0.14753905,1.7703006,2.616051
6.494661,0.17351677,0.24019238,0.5,0.8660254,0.3542419,42,1,2.277667,10.192430123931512,6.494660949607788,2,0.17256537,1.9818286,2.9459844
5.538538,0.10754088,0.24019238,0.5,0.8660254,0.21414185,42,1,2.2024813,13.864208802398654,5.53853796317528,0,0.12474859,1.937559,2.5986743
13.097339,0.0916815,0.75980765,0.5,-0.8660254,0.2722086,42,3,3.6789231,-41.72176273731927,13.097338918314566,4,0.17363869,3.4450698,4.367946
7.6855726,0.1820045,0.24019238,0.5,0.8660254,0.48275796,42,1,2.3238218,13.822775664507482,7.68557248263064,2,0.17628978,2.1100173,3.0700774
4.2249084,4.8805766,0.24019238,-0.5,0.8660254,0.4572966,42,1,2.3280213,11.209813225067604,4.224908146424935,2,0.19643423,2.0953162,3.1251774
8.848501,0.00586831,0.65,0.8660254,-0.5,0.29585996,42,3,3.487042,12.484193984835773,8.84850077924985,4,0.19907832,3.2209828,4.2792997
7.961287,1.1454484,0.24019238,-0.5,0.8660254,0.4564719,42,1,2.328041,11.00290119779693,7.961287199735519,2,0.17856234,2.0803862,3.011623
6.768778,0.05980547,0.24019238,0.5,0.8660254,0.16922337,42,1,2.2188883,10.92262657608934,6.768777857731129,0,0.11575602,1.9935902,2.593133
9.404518,0.1566196,0.65,0.8660254,-0.5,0.4957274,42,3,3.4178858,6.843398593155161,9.404517657262613,3,0.2558872,2.5265713,4.116789
3.2419212,0.07886948,0.5,1.0,6.123234e-17,0.3657379,42,2,3.0718672,14.986068945267116,3.241921203745436,3,0.2120527,2.645366,3.837482
4.867306,1.1039392,0.2,-2.4492937e-16,1.0,0.44222108,42,1,2.2354429,12.273180043062867,4.867306375036614,1,0.19123995,2.0223765,3.0199356
5.467738,10.938293,0.35,-0.8660254,0.5,0.11151656,42,1,2.4708261,14.026368408844645,5.467738270398023,3,0.17573716,1.8170947,2.9281943
6.2685003,0.3024023,0.24019238,0.5,0.8660254,0.13744345,42,1,2.2087934,12.908534999556743,6.268500174902373,0,0.10799105,2.0009923,2.565824
6.49644,5.7699876,0.65,-0.8660254,-0.5,0.21374509,42,3,3.4067786,2.71162518158732,6.496439749597054,3,0.2936962,2.2353783,4.2004685
4.6936154,5.874161,0.35,-0.8660254,0.5,0.10240105,42,1,2.4792542,13.210928486868443,4.693615348973663,3,0.17954151,1.7946353,2.950458
7.950601,1.1416006,0.24019238,-0.5,0.8660254,0.15275422,42,1,2.2364905,12.72523854322245,7.950601245958204,1,0.12641186,1.979546,2.6351504
5.8632956,0.2230577,0.24019238,0.5,0.8660254,0.4995284,42,1,2.3348107,11.623632044067628,5.86329534060918,2,0.17968458,2.1243334,3.0974793
4.195202,0.3115534,0.24019238,0.5,0.8660254,0.29875565,42,1,2.2274776,13.314195745155764,4.195201886448651,1,0.15937534,1.8379045,2.7449584
9.44041,0.19568305,0.75980765,0.5,-0.8660254,0.12392221,42,3,3.7555504,-23.535833650608254,9.440410043045636,4,0.19920109,3.5355864,4.5991993
