episode,q_predicted,realized_return,first_action,rank_by_q,rank_by_return
413,2.0995564,-0.5871493844214792,1,1.0,73.0
187,2.6663232,14.214302482822935,1,2.0,424.0
178,2.6667092,15.117810531265459,1,3.0,475.0
69,2.6678634,13.368185116938754,1,4.0,346.0
434,2.6692908,15.004709255962005,1,5.0,468.0
440,2.6730351,13.49776502217827,1,6.0,356.0
124,2.676886,14.001933308064796,1,7.0,410.0
340,2.679939,13.302495105861736,1,8.0,341.0
174,2.6876516,11.991492587412463,1,9.0,252.0
469,2.6894937,12.503291024110395,1,10.0,281.0
122,2.6910834,12.009060107586963,1,11.0,255.0
456,2.6949117,10.902551066190016,1,12.0,178.0
427,2.7001143,13.787396076286766,1,13.0,392.0
129,2.719165,9.936152888425395,1,14.0,135.0
53,2.724938,10.099008570746774,1,15.0,141.0
61,2.7621694,10.389054062871685,1,16.0,154.0
436,2.7730832,12.363726044337932,1,17.0,273.0
1,2.7741652,9.799247300220413,1,18.0,131.0
475,2.7742562,13.847979628953286,1,19.0,400.0
47,2.7839563,11.809439452597552,1,20.0,244.0
384,2.7851882,13.611396884931272,1,21.0,373.0
240,2.7888174,13.037574559317378,1,22.0,313.0
399,2.7918987,13.833641565875679,1,23.0,398.0
156,2.7927704,11.249610183276928,1,24.0,196.0
218,2.796043,13.385886403537029,1,25.0,347.0
22,2.8015819,10.973841720876644,1,26.0,184.0
256,2.8019567,14.160880272412964,1,27.0,420.0
27,2.808134,9.648544829533366,1,28.0,126.0
338,2.8087463,11.956962402090921,1,29.0,250.0
19,2.815299,13.260680215045472,1,30.0,336.0
358,2.820037,14.2860811388587,1,31.0,432.0
352,2.8227315,13.296734774314135,1,32.0,340.0
82,2.8244965,11.962695334868032,1,33.0,251.0
269,2.8253875,13.601529275399768,1,34.0,370.0
106,2.8385286,14.560429249363239,1,35.0,450.0
326,2.8404098,11.263662838883262,1,36.0,197.0
444,2.8437452,9.90893461507491,1,37.0,134.0
87,2.8444047,13.864208802398654,1,38.0,404.0
359,2.8454945,15.52488251868515,1,39.0,489.0
65,2.845704,10.6465642561234,1,40.0,167.0
445,2.848691,11.768502822746159,1,41.0,240.0
499,2.849463,11.652843898687443,1,42.0,225.0
299,2.8538117,12.124604277762593,1,43.0,260.0
396,2.8557184,10.104078724850863,1,44.0,142.0
93,2.8557923,10.92262657608934,1,45.0,180.0
79,2.857702,15.474032231331798,1,46.0,488.0
351,2.8606567,14.046791258248449,1,47.0,414.0
449,2.8645263,12.965674195012369,1,48.0,309.0
200,2.8647423,11.769232901370872,1,49.0,241.0
467,2.8662097,13.045925723224553,1,50.0,315.0
191,2.8673267,12.642631613890133,1,51.0,290.0
332,2.8682733,11.906867808261858,1,52.0,247.0
164,2.868609,14.412201950775385,1,53.0,441.0
77,2.8691325,12.416544331540459,1,54.0,274.0
406,2.870453,13.051196616591842,1,55.0,317.0
400,2.8726864,12.420324904373048,1,56.0,276.0
388,2.8756773,11.426536934663723,1,57.0,210.0
271,2.8758993,10.204917454051712,1,58.0,150.0
101,2.8762097,12.72523854322245,1,59.0,296.0
349,2.876224,14.027422588286315,1,60.0,412.0
258,2.876968,13.538676230230589,1,61.0,364.0
300,2.8777747,14.959530122057938,1,62.0,465.0
497,2.878392,12.75169653285391,1,63.0,301.0
392,2.8819788,13.940055048879033,1,64.0,408.0
311,2.8829136,13.47558346459663,1,65.0,352.0
73,2.883243,11.141947088114138,1,66.0,191.0
364,2.8835385,14.092496306806057,1,67.0,417.0
45,2.884356,12.41816230406432,1,68.0,275.0
166,2.884709,13.654475963665398,1,69.0,376.0
305,2.8850577,13.60603874585398,1,70.0,371.0
182,2.8863971,13.007157404104573,1,71.0,310.0
159,2.886675,13.360669729564727,1,72.0,344.0
7,2.888214,13.81026544349636,1,73.0,394.0
243,2.8882473,14.769774591832878,1,74.0,461.0
428,2.8883023,9.551756350560044,1,75.0,122.0
209,2.8885283,13.861638725724871,1,76.0,402.0
245,2.8890097,13.254193449467682,1,77.0,334.0
16,2.8893151,12.497553572474791,1,78.0,280.0
137,2.8899853,11.422704203623217,1,79.0,209.0
149,2.8899963,11.76993205152698,1,80.0,242.0
376,2.891394,11.6213872942455,1,81.0,222.0
441,2.8941417,12.767598278335067,1,82.0,303.0
116,2.8957286,13.236834901503098,1,83.0,332.0
98,2.897479,12.663893330909504,1,84.0,293.0
390,2.8979783,13.364691458536576,1,85.0,345.0
177,2.898078,10.603470868126664,1,86.0,165.0
397,2.898553,13.494176983072444,1,87.0,354.0
203,2.898685,14.276442536733871,1,88.0,431.0
462,2.8987505,11.683375078932157,1,89.0,229.0
354,2.8987951,11.374130617554119,1,90.0,205.0
52,2.8992565,10.443166896625476,1,91.0,160.0
83,2.9027576,12.582349405771142,1,92.0,287.0
41,2.9064958,13.201512176962122,1,93.0,329.0
371,2.9082437,15.242957684651754,1,94.0,483.0
233,2.9092193,13.6918381272942,1,95.0,382.0
374,2.9098668,13.241474466963734,1,96.0,333.0
59,2.9105673,14.034001268018049,1,97.0,413.0
189,2.9133246,11.686047997260482,1,98.0,230.0
491,2.9136071,10.1345013897627,1,99.0,145.0
330,2.91436,0.9747273724652248,1,100.0,80.0
238,2.9163907,15.44602073296388,1,101.0,487.0
335,2.9165256,13.14922923343175,4,102.0,321.0
71,2.9172544,12.121404638506524,1,103.0,259.0
196,2.9183762,14.249435037515473,1,104.0,426.0
333,2.9208226,15.667090538088013,1,105.0,493.0
50,2.9269094,11.35413917053186,1,106.0,202.0
81,2.9269772,15.117479500115287,1,107.0,474.0
48,2.927421,13.527072552954928,1,108.0,359.0
184,2.9274316,11.669703465487688,1,109.0,227.0
380,2.927976,13.265124490039709,4,110.0,337.0
350,2.9289722,12.503395288185173,1,111.0,282.0
