ablation,n_features,cv_rmse_mean,cv_r2_mean
full,16,1.9128092488533062,0.5891210660598059
no_lag,14,2.2442427245485947,0.4323940154423601
no_static,14,1.9401643450200876,0.5772093192943268
no_rolling,14,1.9435255557100124,0.5756048760230285
no_v21_additions,11,1.931294342044489,0.5815349176468869
covariates_only,12,2.3076519018769646,0.39944945419887734
