candidate,target_mode,cv_rmse_mean,cv_r2_mean
rf_depth,depth,1.8337118271395403,0.6109958727190176
rf_residual,residual,1.8738607818349897,0.594205180704898
hgbr_depth,depth,1.8604553841867608,0.5988313462195199
hgbr_residual,residual,1.8281310954156929,0.6124343353455
