well_id,date,lat,lon,actual,pred_v1,pred_v2,kriging
W_17.0417_80.65,2016-11-04,17.04167,80.65,3.4,4.574986413796462,4.692054726428176,4.226095676422119
W_17.0417_80.65,2018-11-18,17.04167,80.65,4.7,7.2358539010140035,5.901987321372636,3.234066963195801
W_17.0417_80.65,2018-11-25,17.04167,80.65,4.8,7.2358539010140035,5.901987321372636,3.234066963195801
W_17.0417_80.65,2018-12-04,17.04167,80.65,4.9,3.3409785722640093,4.30057228684416,3.234066963195801
W_17.0417_80.65,2018-12-11,17.04167,80.65,5.1,3.3409785722640093,4.30057228684416,3.234066963195801
W_17.0417_80.65,2018-12-18,17.04167,80.65,5.3,4.451900537378801,3.756183162940727,7.569740772247314
W_17.0417_80.65,2018-12-25,17.04167,80.65,5.5,4.451900537378802,3.756183162940727,7.569740772247314
W_17.0417_80.65,2019-01-04,17.04167,80.65,5.32,5.518469842142233,5.071886486213465,7.569740772247314
W_17.0417_80.65,2019-05-04,17.04167,80.65,8.39,9.846897162505593,9.051288390687851,11.898297309875488
W_17.0417_80.65,2019-10-31,17.04167,80.65,3.58,4.9207427279216915,5.309567261096485,4.275356769561768
W_17.0417_80.65,2020-01-09,17.04167,80.65,6.26,4.80740869312376,4.905862770637689,5.4661478996276855
W_17.0417_80.65,2020-11-29,17.04167,80.65,5.5,3.8264843034648055,3.54035313811708,3.6753361225128174
W_17.0417_80.65,2021-01-09,17.04167,80.65,4.53,3.9380549424954543,4.678700227641806,4.016212463378906
W_16.9014_80.0958,2016-11-04,16.90139,80.09583,10.5,4.467308147940564,4.40846321419237,3.594161033630371
W_16.9014_80.0958,2017-01-04,16.90139,80.09583,11.43,5.333902174516328,4.791675497029391,5.590134620666504
W_16.9014_80.0958,2018-11-04,16.90139,80.09583,11.23,7.957291520104703,6.92620356230705,7.962258815765381
W_16.9014_80.0958,2019-01-04,16.90139,80.09583,13.57,5.050605050075433,5.714711653963951,3.902565717697144
W_16.9014_80.0958,2019-05-04,16.90139,80.09583,15.52,8.110158456919692,8.504612142790503,9.191187858581545
W_16.9014_80.0958,2019-10-31,16.90139,80.09583,8.63,4.7646333998542065,4.520936934881991,4.275356769561768
W_16.9014_80.0958,2020-01-09,16.90139,80.09583,11.7,6.076197755650167,4.7307489758637695,7.21063232421875
W_16.9014_80.0958,2020-11-29,16.90139,80.09583,8.9,3.994553125809154,3.373830901483456,2.477654457092285
W_16.9014_80.0958,2021-01-09,16.90139,80.09583,10.88,3.1037663701215163,3.408177117672188,2.997556447982788
W_16.5569_80.8461,2016-11-04,16.55694,80.84611,6.42,5.080017976624324,4.867352452282164,4.8789381980896
W_16.7889_80.7242,2016-11-04,16.78889,80.72417,7.7,6.015725183960593,5.489384076354986,5.392053127288818
W_16.8647_80.09,2018-11-04,16.86472,80.09,8.88,7.958878158243497,7.070202708845998,7.962258815765381
W_16.8647_80.09,2019-01-04,16.86472,80.09,9.73,5.81155235552556,6.183869809447941,4.607922077178955
W_16.8647_80.09,2019-10-31,16.86472,80.09,8.83,5.231819396766406,4.481949743235161,4.275356769561768
W_16.8647_80.09,2020-01-09,16.86472,80.09,8.78,6.62339829429432,4.752003624951728,7.927199840545654
W_16.8647_80.09,2021-01-09,16.86472,80.09,9.73,3.506903049588866,3.4183548944738824,3.02602219581604
W_17.1083_80.6083,2015-11-04,17.10833,80.60833,5.37,4.621991881563229,4.741097066721292,4.181875228881836
W_17.1083_80.6083,2016-11-04,17.10833,80.60833,4.7,4.379522298738451,4.412024477789292,3.7275450229644775
W_17.1083_80.6083,2017-01-04,17.10833,80.60833,6.88,5.290159164252278,5.016447693417911,4.915657043457031
W_17.1083_80.6083,2018-11-04,17.10833,80.60833,3.45,7.874499746356279,5.2798279361579326,7.962258815765381
W_17.1083_80.6083,2018-11-18,17.10833,80.60833,3.9,6.192897482011944,5.176916803808437,2.849252462387085
W_17.1083_80.6083,2018-11-25,17.10833,80.60833,4.15,6.192897482011944,5.176916803808437,2.849252462387085
W_17.1083_80.6083,2018-12-04,17.10833,80.60833,4.4,3.46838515744547,4.048018408429336,2.849252462387085
W_17.1083_80.6083,2018-12-11,17.10833,80.60833,4.45,3.46838515744547,4.048018408429336,2.849252462387085
W_17.1083_80.6083,2018-12-18,17.10833,80.60833,4.5,4.611241855713293,3.5402658650178465,5.386350631713867
W_17.1083_80.6083,2018-12-25,17.10833,80.60833,4.75,4.611241855713293,3.5402658650178465,5.386350631713867
W_17.1083_80.6083,2019-01-04,17.10833,80.60833,4.71,5.038028953551144,4.727070920228224,5.386350631713867
W_17.1083_80.6083,2019-05-04,17.10833,80.60833,8.93,8.453934974545495,8.5653400729326,7.405840873718262
W_17.1083_80.6083,2019-10-31,17.10833,80.60833,3.02,4.556989850558559,4.331105007139169,4.275356769561768
W_17.1083_80.6083,2020-01-09,17.10833,80.60833,4.6,5.0511754015380745,4.807991080411847,5.534242153167725
W_17.1083_80.6083,2020-11-29,17.10833,80.60833,1.95,4.274052706812719,3.544392064658681,3.03287935256958
W_17.1083_80.6083,2021-01-09,17.10833,80.60833,1.0,3.7332440795276565,3.920184952265788,3.679765462875366
W_17.02_80.555,2016-11-04,17.02,80.555,0.85,4.378103825077958,4.679995964932578,3.393601655960083
W_17.02_80.555,2019-01-04,17.02,80.555,0.43,5.309967469402221,4.77008647808563,6.327483654022217
W_17.02_80.555,2019-05-04,17.02,80.555,6.1,8.65222377346535,8.627418312034104,8.613590240478516
W_17.02_80.555,2019-10-31,17.02,80.555,0.15,4.603948781509864,4.460229703324997,4.275356769561768
