bucket,n_readings,rmse_model,mae_model,r2_model,rmse_kriging,r2_kriging
0-25 km,14033,5.303748979145501,3.396755536130666,0.1874974681283349,5.407307672116481,0.1554585621886485
25-50 km,25,2.8733562194071993,2.478813645658332,-9.452938828221706,3.137811213962727,-11.465597212779015
50-100 km,4,3.260505392746326,2.6690228468145376,-3.7276790145766885,3.0387509829343657,-3.1064672297976887
