candidate,target_mode,n,rmse,mae,r2
rf_depth,depth,4,4.684414656389539,4.121182984755055,0.01026006191034845
rf_residual,residual,4,4.592623092848816,3.9080384369033307,0.048668135441664484
hgbr_depth,depth,4,4.509740883518272,4.0601126478558225,0.08269531477712921
hgbr_residual,residual,4,4.598756209534146,4.137198416533751,0.04612556877465879
kriging_only,n/a,4,5.250346238845009,3.754700853824615,-0.24332973927082557
persistence,n/a,4,5.392775410664683,3.1193611550331113,-0.31170175883405804
