season,n,model_n,model_rmse,model_mae,model_r2,kriging_rmse,persistence_rmse
monsoon,3305,3305,5.224137346113982,3.6434571616086435,0.12834853159591797,5.160920797408195,6.1324923776607845
post-monsoon,7589,7589,4.755199372789545,3.2045432775058296,0.14619253406313526,4.878421643353142,5.1276339481882065
pre-monsoon,3168,3168,6.750773921497965,4.148825461904678,0.07292735038247755,6.693931595560116,7.118558636165421
