candidate,target_mode,n,rmse,mae,r2
rf_depth,depth,14062,5.2956943426855,3.402457190487402,0.18853424793982665
kriging_only,n/a,14062,5.4035921272777925,3.4364101537279206,0.1551307676919671
persistence,n/a,14062,5.868966201979132,3.88490105212786,0.0033387090368101058
rf_residual,residual,14062,5.319873373184916,3.4158581856038768,0.18110736665141447
hgbr_depth,depth,14062,5.28518211254479,3.3773643934381345,0.19175265429983956
hgbr_residual,residual,14062,5.299947503855796,3.394916574530675,0.18723029029679683
