policy,family,training_seed,evaluation_seed,n_episodes,return_mean,return_std,discounted_return_mean,discounted_return_std
BC_seed42,BC,42.0,9999,500,10.223098620761968,8.565931809645233,9.601675591515482,7.220909049714089
BC_seed123,BC,123.0,9999,500,10.684851739020182,7.90149567023921,9.993926660666897,6.658505406685558
BC_seed2024,BC,2024.0,9999,500,11.758545659183111,6.21543562315095,10.890926411164031,5.290025704798965
CQL_seed42,CQL,42.0,9999,500,9.870002837924556,9.393118272399557,9.338644396579591,7.92326472559379
CQL_seed123,CQL,123.0,9999,500,9.633757602359266,9.830578907968242,9.136834013022838,8.29232479785815
CQL_seed2024,CQL,2024.0,9999,500,9.574959312636729,9.790109468365845,9.090833712970605,8.253619393550055
random,handcoded,,9999,500,8.987487770352708,4.908234834080836,8.533847531743463,4.233733464598317
greedy_extraction,handcoded,,9999,500,9.094008968598095,10.769225976192768,8.696308682108079,9.084848985798413
conservative,handcoded,,9999,500,12.666684304047688,1.1408190631511756,11.61197581754111,1.0494073020356378
