stratum,value,n_held_out,n_current_evaluable,current_coverage_pct,n_candidate_evaluable,candidate_coverage_pct
well_id,well_id=W_16.15_75.0667,32,12,0.375,12,0.375
well_id,well_id=W_16.1606_77.9283,33,24,0.7272727272727273,24,0.7272727272727273
well_id,well_id=W_16.1681_80.7514,12,0,0.0,0,0.0
well_id,well_id=W_16.1694_74.4694,30,9,0.3,9,0.3
well_id,well_id=W_16.1_74.6997,31,11,0.3548387096774194,11,0.3548387096774194
well_id,well_id=W_16.1_76.2833,31,10,0.3225806451612903,10,0.3225806451612903
well_id,well_id=W_16.1_76.3083,17,0,0.0,0,0.0
well_id,well_id=W_16.2153_76.0958,29,9,0.3103448275862069,9,0.3103448275862069
well_id,well_id=W_16.2264_80.5142,28,10,0.35714285714285715,10,0.35714285714285715
well_id,well_id=W_16.2333_78.0042,38,20,0.5263157894736842,20,0.5263157894736842
well_id,well_id=W_16.2583_74.6583,32,10,0.3125,10,0.3125
well_id,well_id=W_16.26_80.4744,28,10,0.35714285714285715,10,0.35714285714285715
well_id,well_id=W_16.2833_74.6042,27,9,0.3333333333333333,9,0.3333333333333333
well_id,well_id=W_16.2833_76.1,29,10,0.3448275862068966,10,0.3448275862068966
well_id,well_id=W_16.2953_80.0219,25,13,0.52,13,0.52
well_id,well_id=W_16.2956_78.5639,19,12,0.631578947368421,12,0.631578947368421
well_id,well_id=W_16.3056_80.3739,35,16,0.45714285714285713,16,0.45714285714285713
well_id,well_id=W_16.325_74.6,8,4,0.5,4,0.5
well_id,well_id=W_16.3472_75.6222,6,5,0.8333333333333334,5,0.8333333333333334
well_id,well_id=W_16.3667_73.8,28,7,0.25,7,0.25
well_id,well_id=W_16.3719_73.4858,18,10,0.5555555555555556,10,0.5555555555555556
well_id,well_id=W_16.3747_78.82,18,12,0.6666666666666666,12,0.6666666666666666
well_id,well_id=W_16.3803_73.3803,29,9,0.3103448275862069,9,0.3103448275862069
well_id,well_id=W_16.3833_74.1833,25,8,0.32,8,0.32
well_id,well_id=W_16.3839_75.1517,30,12,0.4,12,0.4
well_id,well_id=W_16.3906_76.5072,24,11,0.4583333333333333,11,0.4583333333333333
well_id,well_id=W_16.3931_78.1469,18,12,0.6666666666666666,12,0.6666666666666666
well_id,well_id=W_16.39_78.3581,20,12,0.6,12,0.6
well_id,well_id=W_16.4006_76.9828,25,7,0.28,7,0.28
well_id,well_id=W_16.4039_80.1656,17,4,0.23529411764705882,4,0.23529411764705882
well_id,well_id=W_16.4042_74.3792,32,10,0.3125,10,0.3125
well_id,well_id=W_16.4064_80.1481,26,10,0.38461538461538464,10,0.38461538461538464
well_id,well_id=W_16.4278_79.8361,29,11,0.3793103448275862,11,0.3793103448275862
well_id,well_id=W_16.4333_74.7917,29,9,0.3103448275862069,9,0.3103448275862069
well_id,well_id=W_16.4356_80.5903,13,3,0.23076923076923078,3,0.23076923076923078
well_id,well_id=W_16.4361_79.7889,23,10,0.43478260869565216,10,0.43478260869565216
well_id,well_id=W_16.4517_74.0533,27,9,0.3333333333333333,9,0.3333333333333333
well_id,well_id=W_16.4597_79.9194,45,17,0.37777777777777777,17,0.37777777777777777
well_id,well_id=W_16.45_76.5125,16,2,0.125,2,0.125
well_id,well_id=W_16.4667_75.85,26,10,0.38461538461538464,10,0.38461538461538464
well_id,well_id=W_16.4667_76.6333,25,7,0.28,7,0.28
well_id,well_id=W_16.47_80.1383,29,10,0.3448275862068966,10,0.3448275862068966
well_id,well_id=W_16.4906_76.7469,2,0,0.0,0,0.0
well_id,well_id=W_16.4972_80.145,29,9,0.3103448275862069,9,0.3103448275862069
well_id,well_id=W_16.5517_79.5494,34,16,0.47058823529411764,16,0.47058823529411764
well_id,well_id=W_16.5542_79.55,3,0,0.0,0,0.0
well_id,well_id=W_16.5569_77.96,18,12,0.6666666666666666,12,0.6666666666666666
well_id,well_id=W_16.5569_80.8461,14,1,0.07142857142857142,1,0.07142857142857142
well_id,well_id=W_16.5583_79.3333,22,8,0.36363636363636365,8,0.36363636363636365
well_id,well_id=W_16.5661_80.4128,35,14,0.4,14,0.4
well_id,well_id=W_16.5667_76.6833,11,7,0.6363636363636364,7,0.6363636363636364
well_id,well_id=W_16.5667_76.8167,29,10,0.3448275862068966,10,0.3448275862068966
well_id,well_id=W_16.5772_75.9706,1,0,0.0,0,0.0
well_id,well_id=W_16.5781_78.5639,39,23,0.5897435897435898,23,0.5897435897435898
well_id,well_id=W_16.6069_73.5492,17,10,0.5882352941176471,10,0.5882352941176471
well_id,well_id=W_16.6108_78.3108,19,11,0.5789473684210527,11,0.5789473684210527
well_id,well_id=W_16.6333_76.2583,28,9,0.32142857142857145,9,0.32142857142857145
well_id,well_id=W_16.6417_75.075,31,11,0.3548387096774194,11,0.3548387096774194
well_id,well_id=W_16.6667_77.6667,4,0,0.0,0,0.0
well_id,well_id=W_16.6706_75.8425,21,4,0.19047619047619047,4,0.19047619047619047
well_id,well_id=W_16.6714_77.3208,15,5,0.3333333333333333,5,0.3333333333333333
well_id,well_id=W_16.6814_75.7336,25,10,0.4,10,0.4
well_id,well_id=W_16.6911_78.9189,34,15,0.4411764705882353,15,0.4411764705882353
well_id,well_id=W_16.7072_76.8311,25,9,0.36,9,0.36
well_id,well_id=W_16.725_79.2069,34,18,0.5294117647058824,18,0.5294117647058824
well_id,well_id=W_16.725_79.6417,1,0,0.0,0,0.0
well_id,well_id=W_16.7336_74.8375,31,10,0.3225806451612903,10,0.3225806451612903
well_id,well_id=W_16.7381_74.6042,11,7,0.6363636363636364,7,0.6363636363636364
well_id,well_id=W_16.75_77.1167,1,1,1.0,1,1.0
well_id,well_id=W_16.7667_77.2167,3,0,0.0,0,0.0
well_id,well_id=W_16.7811_73.9861,21,6,0.2857142857142857,6,0.2857142857142857
well_id,well_id=W_16.7819_74.0794,7,0,0.0,0,0.0
well_id,well_id=W_16.7889_80.7242,11,2,0.18181818181818182,2,0.18181818181818182
well_id,well_id=W_16.7_74.0167,29,9,0.3103448275862069,9,0.3103448275862069
well_id,well_id=W_16.7_76.0667,29,10,0.3448275862068966,10,0.3448275862068966
well_id,well_id=W_16.8028_77.9333,32,18,0.5625,18,0.5625
well_id,well_id=W_16.8167_77.5,14,2,0.14285714285714285,2,0.14285714285714285
well_id,well_id=W_16.825_79.7486,1,0,0.0,0,0.0
well_id,well_id=W_16.8383_74.5878,26,7,0.2692307692307692,7,0.2692307692307692
well_id,well_id=W_16.85_75.7,27,8,0.2962962962962963,8,0.2962962962962963
well_id,well_id=W_16.8647_80.09,14,5,0.35714285714285715,5,0.35714285714285715
well_id,well_id=W_16.8667_76.15,17,7,0.4117647058823529,7,0.4117647058823529
well_id,well_id=W_16.8667_79.8833,30,11,0.36666666666666664,11,0.36666666666666664
well_id,well_id=W_16.8694_75.275,31,12,0.3870967741935484,12,0.3870967741935484
well_id,well_id=W_16.8861_73.4444,29,9,0.3103448275862069,9,0.3103448275862069
well_id,well_id=W_16.9014_80.0958,27,11,0.4074074074074074,11,0.4074074074074074
well_id,well_id=W_16.9028_75.1194,30,11,0.36666666666666664,11,0.36666666666666664
well_id,well_id=W_16.9169_74.5669,29,8,0.27586206896551724,8,0.27586206896551724
well_id,well_id=W_16.9247_79.7325,24,7,0.2916666666666667,7,0.2916666666666667
well_id,well_id=W_16.925_77.7917,25,11,0.44,11,0.44
well_id,well_id=W_16.9308_75.8478,30,10,0.3333333333333333,10,0.3333333333333333
well_id,well_id=W_16.9322_79.6392,23,11,0.4782608695652174,11,0.4782608695652174
well_id,well_id=W_16.9447_78.1781,27,10,0.37037037037037035,10,0.37037037037037035
well_id,well_id=W_16.9558_79.9719,16,11,0.6875,11,0.6875
well_id,well_id=W_16.9583_74.7428,21,6,0.2857142857142857,6,0.2857142857142857
well_id,well_id=W_16.9667_77.6,6,0,0.0,0,0.0
well_id,well_id=W_16.9808_74.1197,18,8,0.4444444444444444,8,0.4444444444444444
well_id,well_id=W_16.9886_77.7172,1,0,0.0,0,0.0
well_id,well_id=W_16.9972_79.9667,36,17,0.4722222222222222,17,0.4722222222222222
well_id,well_id=W_17.0167_74.775,24,6,0.25,6,0.25
well_id,well_id=W_17.0167_76.4333,29,9,0.3103448275862069,9,0.3103448275862069
well_id,well_id=W_17.02_80.555,28,8,0.2857142857142857,8,0.2857142857142857
well_id,well_id=W_17.0417_80.65,35,14,0.4,14,0.4
well_id,well_id=W_17.0447_79.0447,25,12,0.48,12,0.48
well_id,well_id=W_17.0489_78.3956,10,1,0.1,1,0.1
well_id,well_id=W_17.0508_74.2333,29,8,0.27586206896551724,8,0.27586206896551724
well_id,well_id=W_17.0572_74.8644,26,8,0.3076923076923077,8,0.3076923076923077
well_id,well_id=W_17.0583_75.3167,25,11,0.44,11,0.44
well_id,well_id=W_17.05_75.2167,28,11,0.39285714285714285,11,0.39285714285714285
well_id,well_id=W_17.0667_78.4306,30,11,0.36666666666666664,11,0.36666666666666664
well_id,well_id=W_17.075_79.0764,29,9,0.3103448275862069,9,0.3103448275862069
well_id,well_id=W_17.075_79.1117,30,11,0.36666666666666664,11,0.36666666666666664
well_id,well_id=W_17.0833_75.9667,8,1,0.125,1,0.125
well_id,well_id=W_17.0925_79.7764,28,11,0.39285714285714285,11,0.39285714285714285
well_id,well_id=W_17.095_78.8917,15,3,0.2,3,0.2
well_id,well_id=W_17.1083_76.6167,29,12,0.41379310344827586,12,0.41379310344827586
well_id,well_id=W_17.1083_80.6083,36,19,0.5277777777777778,19,0.5277777777777778
well_id,well_id=W_17.1153_75.7875,8,2,0.25,2,0.25
well_id,well_id=W_17.1203_78.1594,48,18,0.375,18,0.375
well_id,well_id=W_17.1222_74.0292,21,7,0.3333333333333333,7,0.3333333333333333
well_id,well_id=W_17.1308_74.0339,21,9,0.42857142857142855,9,0.42857142857142855
well_id,well_id=W_17.1333_76.3,30,12,0.4,12,0.4
well_id,well_id=W_17.1439_79.6067,23,11,0.4782608695652174,11,0.4782608695652174
well_id,well_id=W_17.1583_78.7083,24,9,0.375,9,0.375
well_id,well_id=W_17.15_74.95,16,8,0.5,8,0.5
well_id,well_id=W_17.1642_73.2694,28,11,0.39285714285714285,11,0.39285714285714285
well_id,well_id=W_17.1667_76.7833,5,2,0.4,2,0.4
well_id,well_id=W_17.1792_77.2847,26,9,0.34615384615384615,9,0.34615384615384615
well_id,well_id=W_17.1867_80.5086,27,16,0.5925925925925926,16,0.5925925925925926
well_id,well_id=W_17.2111_76.8903,5,0,0.0,0,0.0
well_id,well_id=W_17.2114_80.5339,17,9,0.5294117647058824,9,0.5294117647058824
well_id,well_id=W_17.2158_76.5731,28,12,0.42857142857142855,12,0.42857142857142855
well_id,well_id=W_17.21_77.6378,24,11,0.4583333333333333,11,0.4583333333333333
well_id,well_id=W_17.225_75.1583,3,0,0.0,0,0.0
well_id,well_id=W_17.225_80.05,25,9,0.36,9,0.36
well_id,well_id=W_17.2278_79.5731,20,11,0.55,11,0.55
well_id,well_id=W_17.2347_73.2722,29,10,0.3448275862068966,10,0.3448275862068966
well_id,well_id=W_17.2583_76.6361,28,10,0.35714285714285715,10,0.35714285714285715
well_id,well_id=W_17.2583_78.3986,58,23,0.39655172413793105,23,0.39655172413793105
well_id,well_id=W_17.25_76.3167,8,0,0.0,0,0.0
well_id,well_id=W_17.2636_80.4297,29,13,0.4482758620689655,13,0.4482758620689655
well_id,well_id=W_17.2647_74.7186,11,8,0.7272727272727273,8,0.7272727272727273
well_id,well_id=W_17.2908_79.9239,36,17,0.4722222222222222,17,0.4722222222222222
well_id,well_id=W_17.2917_76.9583,27,12,0.4444444444444444,12,0.4444444444444444
well_id,well_id=W_17.3181_77.7781,30,12,0.4,12,0.4
well_id,well_id=W_17.3231_79.1578,23,16,0.6956521739130435,16,0.6956521739130435
well_id,well_id=W_17.3417_76.5889,30,11,0.36666666666666664,11,0.36666666666666664
well_id,well_id=W_17.3486_78.4861,12,0,0.0,0,0.0
well_id,well_id=W_17.3583_73.5333,26,9,0.34615384615384615,9,0.34615384615384615
well_id,well_id=W_17.3583_77.15,24,9,0.375,9,0.375
well_id,well_id=W_17.3583_78.3,17,2,0.11764705882352941,2,0.11764705882352941
well_id,well_id=W_17.3667_79.7167,14,8,0.5714285714285714,8,0.5714285714285714
well_id,well_id=W_17.36_77.6133,26,9,0.34615384615384615,9,0.34615384615384615
well_id,well_id=W_17.3708_78.5683,30,13,0.43333333333333335,13,0.43333333333333335
well_id,well_id=W_17.3778_77.2083,30,11,0.36666666666666664,11,0.36666666666666664
well_id,well_id=W_17.3833_78.4333,27,11,0.4074074074074074,11,0.4074074074074074
well_id,well_id=W_17.3944_75.2111,25,9,0.36,9,0.36
well_id,well_id=W_17.3956_78.8047,16,3,0.1875,3,0.1875
well_id,well_id=W_17.4161_74.9294,18,10,0.5555555555555556,10,0.5555555555555556
well_id,well_id=W_17.4183_78.5294,2,0,0.0,0,0.0
well_id,well_id=W_17.4369_78.5681,6,2,0.3333333333333333,2,0.3333333333333333
well_id,well_id=W_17.4417_76.6667,26,10,0.38461538461538464,10,0.38461538461538464
well_id,well_id=W_17.4417_78.5306,23,10,0.43478260869565216,10,0.43478260869565216
well_id,well_id=W_17.4528_78.4944,14,8,0.5714285714285714,8,0.5714285714285714
well_id,well_id=W_17.4564_77.7419,2,0,0.0,0,0.0
well_id,well_id=W_17.4619_77.6531,22,13,0.5909090909090909,13,0.5909090909090909
well_id,well_id=W_17.4625_78.4792,23,9,0.391304347826087,9,0.391304347826087
well_id,well_id=W_17.4728_77.2006,5,0,0.0,0,0.0
well_id,well_id=W_17.4833_73.35,30,10,0.3333333333333333,10,0.3333333333333333
well_id,well_id=W_17.4833_77.2333,29,11,0.3793103448275862,11,0.3793103448275862
well_id,well_id=W_17.4933_78.3581,38,20,0.5263157894736842,20,0.5263157894736842
well_id,well_id=W_17.4994_78.5139,15,4,0.26666666666666666,4,0.26666666666666666
well_id,well_id=W_17.5083_74.2272,1,0,0.0,0,0.0
