n_estimators,max_depth,min_samples_split,min_samples_leaf,mean_r2,std_r2,mean_rmse,n_splits
300,,10,5,0.6388323277297328,0.05626675484247209,1.7764316587957274,5
300,15.0,10,5,0.6368676836379719,0.05678783972250783,1.7812342561513113,5
500,10.0,10,5,0.6173767509306659,0.0473237800887534,1.8286082131786698,5
300,10.0,10,5,0.6173673455063605,0.04728790701439192,1.82862358407951,5
300,10.0,5,2,0.6168333711628462,0.049179879555360136,1.8297695406809127,5
300,8.0,20,10,0.5950371485634803,0.038403532409168016,1.8810807142605932,5
