policy,action,action_meaning,n_transitions,mean_reward,median_reward,mean_gw_before,mean_gw_after,mean_gw_change,depletion_event_count,depletion_event_rate,terminal_event_count
conservative,0,0% pumping (no extraction),1481.0,0.3739143443746011,0.5,13.059073498569413,12.684872195308058,-0.06136099744930723,369.0,0.24915597569209993,0.0
conservative,1,25% pumping (light),3886.0,0.6206343711210761,0.7206783592700958,12.263038812595363,12.41077323200688,0.4490048891429199,992.0,0.2552753474009264,0.0
conservative,2,50% pumping (moderate),1900.0,0.5634087430223773,0.8291150629520416,16.198081664411646,16.714262526505223,0.9419188303763742,1003.0,0.5278947368421053,0.0
conservative,3,75% pumping (heavy),1889.0,0.3760474393812421,0.7582637667655945,18.313424825668335,19.302062563606388,1.4446795870585996,1166.0,0.6172578083642138,0.0
conservative,4,100% pumping (max),844.0,0.15973590367851045,0.6687900424003601,18.171317947419332,19.498179427932644,1.9394455723792503,514.0,0.6090047393364929,0.0
greedy_extraction,0,0% pumping (no extraction),1207.0,0.48749679597071505,0.5,9.503563683588048,9.317947806318958,-0.06882286093179371,53.0,0.043910521955260975,0.0
greedy_extraction,1,25% pumping (light),4391.0,0.6998929117204533,0.7401923537254333,9.896383578401034,10.146847060651702,0.44900419665760816,413.0,0.09405602368480984,0.0
greedy_extraction,2,50% pumping (moderate),2126.0,0.6486579829579774,0.9028929471969604,15.699803493994088,16.172472221646718,0.9383877340904967,1038.0,0.48824082784571965,0.0
greedy_extraction,3,75% pumping (heavy),1834.0,0.055045994031400446,0.8494473993778229,20.96685311630482,21.865369841634923,1.4482067951935738,1321.0,0.7202835332606325,0.0
greedy_extraction,4,100% pumping (max),442.0,-1.447349717677189,-1.0043287873268127,28.858352628768298,29.847481692452394,1.944122283991783,400.0,0.9049773755656109,0.0
random,0,0% pumping (no extraction),1953.0,0.2468880193653546,0.49135899543762207,16.11463775588376,15.63250894379423,-0.047364333119353834,973.0,0.4982078853046595,0.0
random,1,25% pumping (light),2022.0,0.4501411890014352,0.6595882475376129,15.904450346525062,15.881255374869765,0.44437186431587206,1041.0,0.5148367952522255,0.0
random,2,50% pumping (moderate),2020.0,0.5013965783529226,0.6856526732444763,16.17871699203359,16.68224096805755,0.9458110265642683,1133.0,0.560891089108911,0.0
random,3,75% pumping (heavy),1969.0,0.5266743573497195,0.6957805156707764,15.809824988949778,16.75309083885816,1.4491753970212287,1081.0,0.5490096495683088,0.0
random,4,100% pumping (max),2036.0,0.48331995148139445,0.6785370409488678,16.013958457059616,17.4757558886703,1.94665497760132,1196.0,0.587426326129666,0.0
