n_blocks_per_axis,n_blocks_present,seed,n_splits,cv_rmse_mean,cv_r2_mean,cv_rmse_folds,cv_r2_folds
2,4,0,4,2.101505229376221,0.4973087270879039,"[1.856017228615523, 1.5488082791523283, 2.098084399625774, 2.9031110101112585]","[0.48974910763577584, 0.5870730861417479, 0.5398910390090349, 0.3725216755650569]"
2,4,1,4,2.101505229376221,0.49730872708790386,"[1.5488082791523283, 1.856017228615523, 2.9031110101112585, 2.098084399625774]","[0.5870730861417479, 0.48974910763577584, 0.3725216755650569, 0.5398910390090349]"
2,4,2,4,2.101505229376221,0.4973087270879039,"[1.856017228615523, 1.5488082791523283, 2.098084399625774, 2.9031110101112585]","[0.48974910763577584, 0.5870730861417479, 0.5398910390090349, 0.3725216755650569]"
4,16,0,4,1.90810522169929,0.5769708520696657,"[1.4285241916200278, 1.634781554450322, 1.8401791000906311, 2.7289360406361785]","[0.6696158836896577, 0.6029195925018715, 0.5877111738552894, 0.447636758231844]"
4,16,1,4,1.9529473922552363,0.5644008830701617,"[1.8637340915062346, 1.4928193229621471, 2.4861985802840905, 1.9690375742684734]","[0.5681603940143712, 0.6363266151263112, 0.4967842021799178, 0.5563323209600467]"
4,16,2,4,1.875366921709434,0.5974912697745569,"[2.4545923791428024, 1.6441393303204097, 1.643454864544385, 1.7592811128301389]","[0.5280114059599601, 0.6272821350271494, 0.5904809210941794, 0.6441906170169391]"
8,64,0,4,1.8022491496878137,0.6298198177275955,"[1.6789915355903668, 1.5901106286746771, 1.8282747339514236, 2.1116197005347876]","[0.6456828217370223, 0.659486518633764, 0.6372382382683133, 0.5768716922712829]"
8,64,1,4,1.7906047685472015,0.6357128598145848,"[1.7255668564982714, 1.4893491967824046, 1.9071541474426565, 2.040348873465474]","[0.6236591509224415, 0.7013703898765835, 0.6046462893184453, 0.6131756091408689]"
8,64,2,4,1.7864396392365016,0.6336774273865124,"[2.243289063191057, 1.584523259852156, 1.6037996399477885, 1.7141465939550045]","[0.5759215941881064, 0.6751117426669686, 0.6340687525979354, 0.6496076200930396]"
