season,n,model_n,model_rmse,model_mae,model_r2,kriging_rmse,persistence_rmse
monsoon,308,308,7.02118377956986,4.34089727225671,0.08548198548232278,6.597726524596194,7.616388935063734
post-monsoon,5318,5318,4.63862420439012,3.1678172118705397,0.16197392136993594,4.7975407078191585,5.1073232927747405
pre-monsoon,1134,1134,6.770916031416681,4.464940390556485,0.07959348978589287,6.837692650706177,7.338750477103464
