ablation,n_features,cv_rmse_mean,cv_r2_mean
full,16,1.8281310954156929,0.6124343353455
no_lag,14,2.2945898336265245,0.3883340120414149
no_static,14,1.8187331567055438,0.6161058675370148
no_rolling,14,1.8429452061686709,0.6060515337672152
no_v21_additions,12,1.8717390796537121,0.594139078419115
covariates_only,10,2.4658335986958813,0.29274406436153044
