policy,seed,clean_return,noisy_return,degradation
bc,42,-0.08862731954875626,-0.15880142340137915,0.07017410385262289
bc,123,9.952923331055837,10.026444113764033,-0.0735207827081954
bc,2024,3.6733836443772367,3.355769956836377,0.31761368754085995
cql,42,8.98965765166735,8.916477272726944,0.07318037894040685
cql,123,-30.189456728587952,-28.366301421914756,-1.823155306673197
cql,2024,-0.32231271850790444,-0.05324929171955151,-0.26906342678835293
