well_id,date,current_fully_evaluable,candidate_fully_evaluable,current_chirps_ok,candidate_chirps_ok,current_gldas_ok,candidate_gldas_ok,current_sentinel2_ndvi_ok,candidate_sentinel2_ndvi_ok,current_grace_ok,candidate_grace_ok
W_16.7889_80.7242,2015-11-04,False,False,True,True,True,True,False,False,True,True
W_16.7889_80.7242,2016-01-04,False,False,True,True,True,True,False,False,True,True
W_16.7889_80.7242,2016-05-14,False,False,True,True,True,True,False,False,True,True
W_16.7889_80.7242,2016-11-04,True,True,True,True,True,True,True,True,True,True
W_16.7889_80.7242,2017-01-04,False,False,True,True,True,True,False,False,True,True
W_16.7889_80.7242,2017-05-14,False,False,True,True,True,True,False,False,True,True
W_16.7889_80.7242,2017-08-24,False,False,True,True,True,True,False,False,True,True
W_16.7889_80.7242,2017-11-04,True,True,True,True,True,True,True,True,True,True
W_16.8647_80.09,2013-01-04,False,False,False,False,False,False,False,False,False,False
W_16.8647_80.09,2013-05-14,False,False,False,False,False,False,False,False,False,False
W_16.8647_80.09,2013-11-04,False,False,False,False,False,False,False,False,False,False
W_16.8647_80.09,2014-01-04,False,False,True,True,True,True,False,False,True,True
W_16.8647_80.09,2014-08-24,False,False,True,True,True,True,False,False,True,True
W_16.8647_80.09,2014-11-04,False,False,True,True,True,True,False,False,True,True
W_16.8647_80.09,2015-01-04,False,False,True,True,True,True,False,False,True,True
W_16.8647_80.09,2015-05-14,False,False,True,True,True,True,False,False,True,True
W_16.8647_80.09,2018-11-04,True,True,True,True,True,True,True,True,True,True
W_16.8647_80.09,2019-01-04,True,True,True,True,True,True,True,True,True,True
W_16.8647_80.09,2019-08-19,False,False,True,True,True,True,False,False,True,True
W_16.8647_80.09,2019-10-31,True,True,True,True,True,True,True,True,True,True
W_16.8647_80.09,2020-01-09,True,True,True,True,True,True,True,True,True,True
W_16.8647_80.09,2021-01-09,True,True,True,True,True,True,True,True,True,True
W_17.1083_80.6083,2013-01-01,False,False,False,False,False,False,False,False,False,False
W_17.1083_80.6083,2013-01-04,False,False,False,False,False,False,False,False,False,False
W_17.1083_80.6083,2013-05-14,False,False,False,False,False,False,False,False,False,False
W_17.1083_80.6083,2013-11-04,False,False,False,False,False,False,False,False,False,False
W_17.1083_80.6083,2014-01-04,False,False,True,True,True,True,False,False,True,True
W_17.1083_80.6083,2014-05-14,False,False,True,True,True,True,False,False,True,True
W_17.1083_80.6083,2014-08-24,False,False,True,True,True,True,False,False,True,True
W_17.1083_80.6083,2014-11-04,False,False,True,True,True,True,False,False,True,True
W_17.1083_80.6083,2015-01-04,False,False,True,True,True,True,False,False,True,True
W_17.1083_80.6083,2015-05-14,False,False,True,True,True,True,False,False,True,True
W_17.1083_80.6083,2015-08-24,False,False,True,True,True,True,False,False,True,True
W_17.1083_80.6083,2015-11-04,True,True,True,True,True,True,True,True,True,True
W_17.1083_80.6083,2016-05-14,False,False,True,True,True,True,False,False,True,True
W_17.1083_80.6083,2016-08-24,False,False,True,True,True,True,False,False,True,True
W_17.1083_80.6083,2016-11-04,True,True,True,True,True,True,True,True,True,True
W_17.1083_80.6083,2017-01-04,True,True,True,True,True,True,True,True,True,True
W_17.1083_80.6083,2017-05-14,False,False,True,True,True,True,False,False,True,True
W_17.1083_80.6083,2017-08-24,False,False,True,True,True,True,False,False,True,True
W_17.1083_80.6083,2017-11-04,True,True,True,True,True,True,True,True,True,True
W_17.1083_80.6083,2017-12-31,True,True,True,True,True,True,True,True,True,True
W_17.1083_80.6083,2018-05-19,True,True,True,True,True,True,True,True,True,True
W_17.1083_80.6083,2018-08-19,False,False,True,True,True,True,False,False,True,True
W_17.1083_80.6083,2018-11-04,True,True,True,True,True,True,True,True,True,True
W_17.1083_80.6083,2018-11-18,True,True,True,True,True,True,True,True,True,True
W_17.1083_80.6083,2018-11-25,True,True,True,True,True,True,True,True,True,True
W_17.1083_80.6083,2018-12-04,True,True,True,True,True,True,True,True,True,True
W_17.1083_80.6083,2018-12-11,True,True,True,True,True,True,True,True,True,True
W_17.1083_80.6083,2018-12-18,True,True,True,True,True,True,True,True,True,True
W_17.1083_80.6083,2018-12-25,True,True,True,True,True,True,True,True,True,True
W_17.1083_80.6083,2019-01-04,True,True,True,True,True,True,True,True,True,True
W_17.1083_80.6083,2019-05-04,True,True,True,True,True,True,True,True,True,True
W_17.1083_80.6083,2019-08-19,False,False,True,True,True,True,False,False,True,True
W_17.1083_80.6083,2019-10-31,True,True,True,True,True,True,True,True,True,True
W_17.1083_80.6083,2020-01-09,True,True,True,True,True,True,True,True,True,True
W_17.1083_80.6083,2020-11-29,True,True,True,True,True,True,True,True,True,True
W_17.1083_80.6083,2021-01-09,True,True,True,True,True,True,True,True,True,True
W_17.02_80.555,2013-05-14,False,False,False,False,False,False,False,False,False,False
W_17.02_80.555,2013-11-04,False,False,False,False,False,False,False,False,False,False
W_17.02_80.555,2014-01-04,False,False,True,True,True,True,False,False,True,True
W_17.02_80.555,2014-05-14,False,False,True,True,True,True,False,False,True,True
W_17.02_80.555,2014-08-24,False,False,True,True,True,True,False,False,True,True
W_17.02_80.555,2014-11-04,False,False,True,True,True,True,False,False,True,True
W_17.02_80.555,2015-01-04,False,False,True,True,True,True,False,False,True,True
W_17.02_80.555,2015-05-14,False,False,True,True,True,True,False,False,True,True
W_17.02_80.555,2015-08-24,False,False,True,True,True,True,False,False,True,True
W_17.02_80.555,2015-11-04,False,False,True,True,True,True,False,False,True,True
W_17.02_80.555,2016-01-04,False,False,True,True,True,True,False,False,True,True
W_17.02_80.555,2016-08-24,False,False,True,True,True,True,False,False,True,True
W_17.02_80.555,2016-11-04,True,True,True,True,True,True,True,True,True,True
W_17.02_80.555,2017-01-04,False,False,True,True,True,True,False,False,True,True
W_17.02_80.555,2017-05-14,False,False,True,True,True,True,False,False,True,True
W_17.02_80.555,2017-08-24,False,False,True,True,True,True,False,False,True,True
W_17.02_80.555,2017-11-04,True,True,True,True,True,True,True,True,True,True
W_17.02_80.555,2017-12-31,False,False,True,True,True,True,False,False,True,True
W_17.02_80.555,2018-05-19,False,False,True,True,True,True,False,False,True,True
W_17.02_80.555,2018-08-19,False,False,True,True,True,True,False,False,True,True
W_17.02_80.555,2018-11-04,False,False,True,True,True,True,False,False,True,True
W_17.02_80.555,2019-01-04,True,True,True,True,True,True,True,True,True,True
W_17.02_80.555,2019-05-04,True,True,True,True,True,True,True,True,True,True
W_17.02_80.555,2019-08-19,False,False,True,True,True,True,False,False,True,True
W_17.02_80.555,2019-10-31,True,True,True,True,True,True,True,True,True,True
W_17.02_80.555,2020-01-09,True,True,True,True,True,True,True,True,True,True
W_17.02_80.555,2020-11-29,True,True,True,True,True,True,True,True,True,True
W_17.02_80.555,2021-01-09,True,True,True,True,True,True,True,True,True,True
W_15.7147_80.2372,2015-01-04,False,False,True,True,True,True,False,False,True,True
W_15.7147_80.2372,2015-05-14,False,False,True,True,True,True,False,False,True,True
W_15.7147_80.2372,2015-08-24,False,False,True,True,True,True,False,False,True,True
W_15.7147_80.2372,2015-11-04,False,False,True,True,True,True,False,False,True,True
W_15.7147_80.2372,2016-01-04,False,False,True,True,True,True,False,False,True,True
W_15.7147_80.2372,2016-08-24,True,True,True,True,True,True,True,True,True,True
W_15.7147_80.2372,2016-11-04,True,True,True,True,True,True,True,True,True,True
W_15.7147_80.2372,2017-01-04,False,False,True,True,True,True,False,False,True,True
W_15.7147_80.2372,2017-11-04,False,False,True,True,True,True,False,False,True,True
W_15.7147_80.2372,2017-12-31,True,True,True,True,True,True,True,True,True,True
W_16.0333_79.4417,2013-01-04,False,False,False,False,False,False,False,False,False,False
W_16.0333_79.4417,2013-05-14,False,False,False,False,False,False,False,False,False,False
W_16.0333_79.4417,2013-11-04,False,False,False,False,False,False,False,False,False,False
W_16.0333_79.4417,2014-01-04,False,False,True,True,True,True,False,False,True,True
W_16.0333_79.4417,2014-05-14,False,False,True,True,True,True,False,False,True,True
W_16.0333_79.4417,2014-08-24,False,False,True,True,True,True,False,False,True,True
W_16.0333_79.4417,2014-11-04,False,False,True,True,True,True,False,False,True,True
W_16.0333_79.4417,2015-01-04,False,False,True,True,True,True,False,False,True,True
W_16.0333_79.4417,2015-05-14,False,False,True,True,True,True,False,False,True,True
W_16.0333_79.4417,2015-08-24,False,False,True,True,True,True,False,False,True,True
W_16.0333_79.4417,2015-11-04,False,False,True,True,True,True,False,False,True,True
W_16.0333_79.4417,2016-08-24,False,False,True,True,True,True,False,False,True,True
W_16.0333_79.4417,2016-11-04,True,True,True,True,True,True,True,True,True,True
W_16.0333_79.4417,2017-01-04,False,False,True,True,True,True,False,False,True,True
W_16.0333_79.4417,2017-05-14,False,False,True,True,True,True,False,False,True,True
W_16.0333_79.4417,2017-08-24,False,False,True,True,True,True,False,False,True,True
W_16.0333_79.4417,2017-12-31,True,True,True,True,True,True,True,True,True,True
W_16.0333_79.4417,2018-05-19,False,False,True,True,True,True,False,False,True,True
W_16.0333_79.4417,2018-08-19,False,False,True,True,True,True,False,False,True,True
W_16.0333_79.4417,2018-11-04,False,False,True,True,True,True,False,False,True,True
W_16.0333_79.4417,2019-01-04,True,True,True,True,True,True,True,True,True,True
W_16.0333_79.4417,2019-05-04,True,True,True,True,True,True,True,True,True,True
W_16.0333_79.4417,2019-08-19,False,False,True,True,True,True,False,False,True,True
W_16.0333_79.4417,2019-10-31,True,True,True,True,True,True,True,True,True,True
W_16.0333_79.4417,2020-01-09,True,True,True,True,True,True,True,True,True,True
W_16.0333_79.4417,2020-11-29,True,True,True,True,True,True,True,True,True,True
W_16.0333_79.4417,2021-01-09,True,True,True,True,True,True,True,True,True,True
W_15.6694_80.1708,2013-01-01,False,False,False,False,False,False,False,False,False,False
W_15.6694_80.1708,2013-01-04,False,False,False,False,False,False,False,False,False,False
W_15.6694_80.1708,2013-05-14,False,False,False,False,False,False,False,False,False,False
W_15.6694_80.1708,2013-11-04,False,False,False,False,False,False,False,False,False,False
W_15.6694_80.1708,2014-01-04,False,False,True,True,True,True,False,False,True,True
W_15.6694_80.1708,2014-05-14,False,False,True,True,True,True,False,False,True,True
W_15.6694_80.1708,2014-08-24,False,False,True,True,True,True,False,False,True,True
W_15.6694_80.1708,2014-11-04,False,False,True,True,True,True,False,False,True,True
W_15.6694_80.1708,2015-01-04,False,False,True,True,True,True,False,False,True,True
W_15.6694_80.1708,2015-05-14,False,False,True,True,True,True,False,False,True,True
W_15.6694_80.1708,2015-08-24,False,False,True,True,True,True,False,False,True,True
W_15.6694_80.1708,2015-11-04,False,False,True,True,True,True,False,False,True,True
W_15.6694_80.1708,2016-05-14,False,False,True,True,True,True,False,False,True,True
W_15.6694_80.1708,2016-08-24,True,True,True,True,True,True,True,True,True,True
W_15.6694_80.1708,2016-11-04,True,True,True,True,True,True,True,True,True,True
W_15.6694_80.1708,2017-01-04,False,False,True,True,True,True,False,False,True,True
W_15.6694_80.1708,2017-05-14,False,False,True,True,True,True,False,False,True,True
W_15.6694_80.1708,2017-08-24,False,False,True,True,True,True,False,False,True,True
W_15.6694_80.1708,2017-11-04,False,False,True,True,True,True,False,False,True,True
W_15.6694_80.1708,2017-12-31,False,False,True,True,True,True,False,False,True,True
W_15.6694_80.1708,2018-05-19,True,True,True,True,True,True,True,True,True,True
W_15.6694_80.1708,2018-11-04,False,False,True,True,True,True,False,False,True,True
W_15.6694_80.1708,2019-01-04,True,True,True,True,True,True,True,True,True,True
W_15.6694_80.1708,2019-05-04,True,True,True,True,True,True,True,True,True,True
W_15.6694_80.1708,2019-08-19,True,True,True,True,True,True,True,True,True,True
W_15.6694_80.1708,2019-10-31,True,True,True,True,True,True,True,True,True,True
W_15.6694_80.1708,2020-01-09,True,True,True,True,True,True,True,True,True,True
W_15.6694_80.1708,2020-11-29,True,True,True,True,True,True,True,True,True,True
W_15.6694_80.1708,2021-01-09,True,True,True,True,True,True,True,True,True,True
W_15.8017_79.6783,2013-01-04,False,False,False,False,False,False,False,False,False,False
W_15.8017_79.6783,2013-05-14,False,False,False,False,False,False,False,False,False,False
W_15.8017_79.6783,2013-11-04,False,False,False,False,False,False,False,False,False,False
W_15.8017_79.6783,2014-01-04,False,False,True,True,True,True,False,False,True,True
W_15.8017_79.6783,2014-05-14,False,False,True,True,True,True,False,False,True,True
W_15.8017_79.6783,2014-08-24,False,False,True,True,True,True,False,False,True,True
W_15.8017_79.6783,2014-11-04,False,False,True,True,True,True,False,False,True,True
W_15.8017_79.6783,2015-01-04,False,False,True,True,True,True,False,False,True,True
W_15.8017_79.6783,2015-05-14,False,False,True,True,True,True,False,False,True,True
W_15.8017_79.6783,2015-08-24,False,False,True,True,True,True,False,False,True,True
W_15.8017_79.6783,2015-11-04,False,False,True,True,True,True,False,False,True,True
