date,row,col,chirps,gldas_sm,sentinel2_ndvi,grace,elevation,slope,month_sin,month_cos,lon,lat,pixel_id
2015-08-01,38,41,5.0876484,30.705124,0.5242756,4.8783474,437.9484,0.14376698,-0.4999999999999997,-0.8660254037844388,78.0015873015873,18.13968253968254,38_41
2015-08-01,39,41,4.8414483,30.668943,0.5242851,4.8783474,456.58655,0.28564563,-0.4999999999999997,-0.8660254037844388,78.0015873015873,18.038095238095238,39_41
2015-08-01,39,42,5.6166515,31.326029,0.555811,4.8783474,455.83972,0.20785901,-0.4999999999999997,-0.8660254037844388,78.13333333333334,18.038095238095238,39_42
2015-08-01,39,43,6.578298,31.52732,0.5321512,4.8783474,473.5501,0.27904582,-0.4999999999999997,-0.8660254037844388,78.26507936507937,18.038095238095238,39_43
2015-08-01,39,44,6.3027124,31.703392,0.51809865,4.8783474,528.769,0.3539838,-0.4999999999999997,-0.8660254037844388,78.39682539682539,18.038095238095238,39_44
2015-08-01,39,45,5.7517004,31.584127,0.51665187,4.8783474,546.6094,0.33275884,-0.4999999999999997,-0.8660254037844388,78.52857142857142,18.038095238095238,39_45
2015-08-01,39,46,5.233215,31.40843,0.5296663,4.8783474,514.33136,0.24622677,-0.4999999999999997,-0.8660254037844388,78.66031746031746,18.038095238095238,39_46
2015-08-01,39,47,5.1142125,31.621107,0.53047574,4.8783474,520.4631,0.24873148,-0.4999999999999997,-0.8660254037844388,78.79206349206349,18.038095238095238,39_47
2015-08-01,40,41,4.958806,30.514423,0.5819141,4.8783474,505.4448,0.30106997,-0.4999999999999997,-0.8660254037844388,78.0015873015873,17.936507936507937,40_41
2015-08-01,40,42,5.8280272,29.332241,0.5698721,4.8783474,490.187,0.20538282,-0.4999999999999997,-0.8660254037844388,78.13333333333334,17.936507936507937,40_42
2015-08-01,40,43,6.71244,29.251034,0.54831827,4.8783474,496.2922,0.25851375,-0.4999999999999997,-0.8660254037844388,78.26507936507937,17.936507936507937,40_43
