policy,family,training_seed,evaluation_seed,n_episodes,return_mean,return_std,discounted_return_mean,discounted_return_std
BC_seed42,BC,42.0,9999,500,7.941004837665962,10.23439652638667,7.706398698061088,8.639228368577932
BC_seed123,BC,123.0,9999,500,8.474890605104171,9.503332295902698,8.160828079067485,8.036332106135083
BC_seed2024,BC,2024.0,9999,500,8.423233017245803,9.548722264238991,8.111955296629196,8.070345657826854
CQL_seed42,CQL,42.0,9999,500,9.031774837233717,10.2166196410369,8.643336717609591,8.617023429222574
CQL_seed123,CQL,123.0,9999,500,9.24055456419977,9.551264258365434,8.825372294326156,8.051215357930712
CQL_seed2024,CQL,2024.0,9999,500,9.417997640007082,9.778800542891299,8.965542457148887,8.244030972081495
random,handcoded,,9999,500,8.987487770352708,4.908234834080836,8.533847531743463,4.233733464598317
greedy_extraction,handcoded,,9999,500,9.094008968598095,10.769225976192768,8.696308682108079,9.084848985798413
conservative,handcoded,,9999,500,12.666684304047688,1.1408190631511756,11.61197581754111,1.0494073020356378
