kind,cell,n,min,max,mean,envelope_w1_plus_w3,finite,seed,bc_return,cql_return,bc_actions,cql_actions,comparison,observed_difference,ci_lower,ci_upper,ci_contains_zero,p_positive,bc_delta_from_normal,cql_delta_from_normal
pooled,adapt_normal_gw15,,,,,,,,-1.560784150869458,-1.1321156939962562,,,adapt_normal_gw15_pooled,0.4286684568732021,0.26560783861933207,0.5806962014456754,False,1.0,2.220446049250313e-16,-2.220446049250313e-16
reward_stats,adapt_normal_gw25,30000.0,-19.017539978027344,0.11303640902042389,-2.823499895325232,1.5,True,,,,,,,,,,,,,
per_seed,adapt_normal_gw25,,,,,,,42.0,-49.36246710892654,-47.17193682250852,"[1155, 4507, 2251, 1786, 301]","[1091, 4935, 2165, 1709, 100]",adapt_normal_gw25_s42,2.1905302864180247,1.6276864862918847,2.777976529752365,False,1.0,0.0,0.0
per_seed,adapt_normal_gw25,,,,,,,123.0,-46.7893558047586,-44.308122175911436,"[1478, 4586, 1981, 1581, 374]","[1437, 5013, 1985, 1425, 140]",adapt_normal_gw25_s123,2.4812336288471517,1.9651925585501695,3.0421343959579303,False,1.0,0.0,0.0
per_seed,adapt_normal_gw25,,,,,,,2024.0,-47.193618749438485,-45.49567732675253,"[1480, 4371, 2219, 1613, 317]","[1435, 4747, 2126, 1581, 111]",adapt_normal_gw25_s2024,1.6979414226859617,0.976747664685481,2.331287944322474,False,1.0,0.0,0.0
pooled,adapt_normal_gw25,,,,,,,,-47.78181388770787,-45.65857877505749,,,adapt_normal_gw25_pooled,2.1232351126503795,1.7694304579336249,2.4700952974496118,False,1.0,0.0,0.0
reward_stats,adapt_high_gw5,30000.0,-5.537289619445801,1.399999976158142,0.6143680999734399,1.5,True,,,,,,,,,,,,,
per_seed,adapt_high_gw5,,,,,,,42.0,12.943993638184322,12.872120497870206,"[1137, 4524, 2261, 1819, 259]","[1022, 4595, 2276, 1863, 244]",adapt_high_gw5_s42,-0.07187314031411776,-0.1557289189370465,-0.0007434948232164974,False,0.0234,-0.177939918532811,-0.2138422772746864
per_seed,adapt_high_gw5,,,,,,,123.0,12.689619751243841,12.89545379468121,"[1492, 4553, 1999, 1596, 360]","[1294, 4832, 2039, 1614, 221]",adapt_high_gw5_s123,0.20583404343736753,0.10454818824460761,0.30336480371810787,False,0.9998,-0.33986231832959746,-0.17688981141192173
per_seed,adapt_high_gw5,,,,,,,2024.0,12.911356002899684,13.01286075243602,"[1439, 4420, 2243, 1604, 294]","[1329, 4561, 2222, 1713, 175]",adapt_high_gw5_s2024,0.10150474953633822,-0.027492895872052683,0.21226605848701727,True,0.9428,-0.18164546354554467,-0.1711996990605993
pooled,adapt_high_gw5,,,,,,,,12.848323130775949,12.926811681662478,,,adapt_high_gw5_pooled,0.07848855088652933,0.017952333164721473,0.13623250174172394,False,0.9948,-0.2331492334693177,-0.18731059591573462
reward_stats,adapt_high_gw15,30000.0,-11.4110746383667,1.3075792789459229,-0.25683632241877324,1.5,True,,,,,,,,,,,,,
per_seed,adapt_high_gw15,,,,,,,42.0,-2.363566617435354,-1.756948407958567,"[1110, 4502, 2260, 1774, 354]","[1059, 4665, 2248, 1809, 219]",adapt_high_gw15_s42,0.6066182094767871,0.4318216153468935,0.7991639091367896,False,1.0,-0.2992320064002407,0.33936616614125037
per_seed,adapt_high_gw15,,,,,,,123.0,-0.8335110569904408,0.0392643199866539,"[1505, 4571, 1998, 1590, 336]","[1353, 4825, 2071, 1662, 89]",adapt_high_gw15_s123,0.8727753769770947,0.5047897938688454,1.2180129200136045,False,1.0,0.2952303507992359,0.4760791598542571
per_seed,adapt_high_gw15,,,,,,,2024.0,-1.038253421492995,-0.47371205200004013,"[1480, 4353, 2258, 1622, 287]","[1368, 4641, 2271, 1533, 187]",adapt_high_gw15_s2024,0.5645413694929551,0.19621471853851766,0.8680239757833957,False,0.9974,0.4510230122905894,0.38950561602130757
pooled,adapt_high_gw15,,,,,,,,-1.4117770319729301,-0.730465379990651,,,adapt_high_gw15_pooled,0.681311651982279,0.50193880771646,0.8523187162848805,False,1.0,0.14900711889652807,0.401650314005605
reward_stats,adapt_high_gw25,30000.0,-18.905794143676758,0.0468948595225811,-2.7754229627088187,1.5,True,,,,,,,,,,,,,
per_seed,adapt_high_gw25,,,,,,,42.0,-48.51572452693983,-46.28501372773597,"[1143, 4528, 2249, 1799, 281]","[1082, 4900, 2153, 1790, 75]",adapt_high_gw25_s42,2.230710799203846,1.697454348176684,2.793119321226839,False,1.0,0.8467425819867103,0.8869230947725484
per_seed,adapt_high_gw25,,,,,,,123.0,-45.64475188739363,-42.96931374238893,"[1488, 4599, 2005, 1587, 321]","[1462, 4967, 2104, 1338, 129]",adapt_high_gw25_s123,2.6754381450047076,2.080870617104671,3.2860552269204817,False,1.0,1.144603917364968,1.3388084335225088
per_seed,adapt_high_gw25,,,,,,,2024.0,-46.712965656459886,-43.96766897139791,"[1445, 4370, 2245, 1615, 325]","[1429, 4701, 2195, 1675, 0]",adapt_high_gw25_s2024,2.7452966850619696,2.1314244888697575,3.379265974842713,False,1.0,0.48065309297859926,1.5280083553546149
pooled,adapt_high_gw25,,,,,,,,-46.957814023597784,-44.40733214717428,,,adapt_high_gw25_pooled,2.550481876423508,2.2035274223358163,2.89958953796077,False,1.0,0.8239998641100854,1.2512466278832122
