kind,cell,n,min,max,mean,envelope_w1_plus_w3,finite,seed,bc_return,cql_return,bc_crop,bc_supply,bc_penalty,bc_reconstructed,cql_crop,cql_supply,cql_penalty,cql_reconstructed,bc_actions,cql_actions,comparison,observed_difference,ci_lower,ci_upper,ci_contains_zero,p_positive
reward_stats,w1.0_0.0_0.0,30000.0,0.0,1.0,0.3275332249761229,1.0,True,,,,,,,,,,,,,,,,,,,
per_seed,w1.0_0.0_0.0,,,,,,,42.0,7.221370770015093,7.290133774120682,7.221370770015091,19.37473460100934,3.662249336145524,7.221370770015091,7.290133774120681,19.37347797068385,3.65907415607394,7.290133774120681,"[1115, 4505, 2244, 1738, 398]","[1032, 4534, 2296, 1858, 280]",w1.0_0.0_0.0_s42,0.06876300410558996,0.040244028390238794,0.10093600516290621,False,1.0
per_seed,w1.0_0.0_0.0,,,,,,,123.0,6.688241124119389,6.771105610490002,6.688241124119393,19.41567520289155,3.409024954511917,6.688241124119393,6.7711056104900065,19.390035979764345,3.5313672568084513,6.7711056104900065,"[1477, 4541, 1983, 1616, 383]","[1294, 4676, 2008, 1625, 397]",w1.0_0.0_0.0_s123,0.08286448637061251,0.059289581843353006,0.10697685525559679,False,1.0
per_seed,w1.0_0.0_0.0,,,,,,,2024.0,6.890644017251362,6.959005487555926,6.89064401725136,19.40475691962683,3.5070621910905535,6.89064401725136,6.959005487555925,19.370606113982475,3.6716562217061637,6.959005487555925,"[1427, 4406, 2212, 1633, 322]","[1301, 4385, 2241, 1679, 394]",w1.0_0.0_0.0_s2024,0.06836147030456269,0.04536162686579324,0.09439103492213105,False,1.0
pooled,w1.0_0.0_0.0,,,,,,,,6.933418637128614,7.006748290722203,,,,,,,,,,,w1.0_0.0_0.0_pooled,0.0733296535935884,0.059087141874830114,0.08921285455846245,False,1.0
reward_stats,w1.0_2.0_0.0,30000.0,-9.022700309753418,0.9997447729110718,-0.025155734581257957,1.0,True,,,,,,,,,,,,,,,,,,,
per_seed,w1.0_2.0_0.0,,,,,,,42.0,-0.10312790227595453,0.07580096272199369,7.221370770015091,19.37473460100934,3.662249336145524,-0.1031279022759568,7.267874784049929,19.388102010411856,3.5960369106639667,0.07580096272199555,"[1115, 4505, 2244, 1738, 398]","[1005, 4645, 2242, 1852, 256]",w1.0_2.0_0.0_s42,0.17892886499794822,0.022954374359176948,0.33439204299029274,False,0.9854
per_seed,w1.0_2.0_0.0,,,,,,,123.0,-0.12980878490444547,0.15805831957169997,6.688241124119393,19.41567520289155,3.409024954511917,-0.1298087849044416,6.7179984886920785,19.434878831717516,3.2799700845601887,0.15805831957170113,"[1477, 4541, 1983, 1616, 383]","[1311, 4813, 2042, 1606, 228]",w1.0_2.0_0.0_s123,0.28786710447614544,0.16570454338005303,0.4261680839807859,False,1.0
per_seed,w1.0_2.0_0.0,,,,,,,2024.0,-0.12348036492974342,0.07234688444758845,6.89064401725136,19.40475691962683,3.5070621910905535,-0.12348036492974668,6.90112082090058,19.423464216618928,3.4143869682264945,0.07234688444759119,"[1427, 4406, 2212, 1633, 322]","[1298, 4559, 2280, 1629, 234]",w1.0_2.0_0.0_s2024,0.1958272493773319,0.08725831186843674,0.30111852870796485,False,0.9996
pooled,w1.0_2.0_0.0,,,,,,,,-0.11880568403671445,0.10206872224709405,,,,,,,,,,,w1.0_2.0_0.0_pooled,0.2208744062838085,0.14245215542149003,0.2973292010930171,False,1.0
reward_stats,w0.0_2.0_0.5,30000.0,-9.56540298461914,0.5,0.13427187660092726,0.5,True,,,,,,,,,,,,,,,,,,,
per_seed,w0.0_2.0_0.5,,,,,,,42.0,2.3628686282136195,2.8331938193503556,7.221370770015091,19.37473460100934,3.662249336145524,2.362868628213622,7.140592622412254,19.421673592322897,3.4388214884055475,2.8331938193503534,"[1115, 4505, 2244, 1738, 398]","[1083, 4671, 2295, 1701, 250]",w0.0_2.0_0.5_s42,0.4703251911367356,0.2615950807368294,0.6795290261230255,False,1.0
per_seed,w0.0_2.0_0.5,,,,,,,123.0,2.889787692421945,3.464423023195436,6.688241124119393,19.41567520289155,3.409024954511917,2.8897876924219403,6.630901816743976,19.468185523799004,3.134834869352033,3.464423023195436,"[1477, 4541, 1983, 1616, 383]","[1385, 4795, 2059, 1588, 173]",w0.0_2.0_0.5_s123,0.5746353307734903,0.3934896747400342,0.7712564856792183,False,1.0
per_seed,w0.0_2.0_0.5,,,,,,,2024.0,2.688254077632309,3.3801446940610393,6.89064401725136,19.40475691962683,3.5070621910905535,2.6882540776323083,6.750095138365981,19.47181677389674,3.177881846443668,3.380144694061035,"[1427, 4406, 2212, 1633, 322]","[1392, 4627, 2251, 1506, 224]",w0.0_2.0_0.5_s2024,0.6918906164287305,0.31173711880804583,1.2132793401060373,False,1.0
pooled,w0.0_2.0_0.5,,,,,,,,2.646970132755958,3.225920512202277,,,,,,,,,,,w0.0_2.0_0.5_pooled,0.5789503794463188,0.4171167273609539,0.7673225594560215,False,1.0
reward_stats,w1.0_0.0_0.5,30000.0,0.1309138834476471,1.5,0.8144940601651868,1.5,True,,,,,,,,,,,,,,,,,,,
per_seed,w1.0_0.0_0.5,,,,,,,42.0,16.908738070519757,16.99009992676053,7.221370770015091,19.37473460100934,3.662249336145524,16.90873807051976,7.308194948812923,19.363809955895213,3.7161586616149345,16.99009992676053,"[1115, 4505, 2244, 1738, 398]","[1016, 4453, 2328, 1895, 308]",w1.0_0.0_0.5_s42,0.08136185624076701,0.058129063969006786,0.10773477322449607,False,1.0
per_seed,w1.0_0.0_0.5,,,,,,,123.0,16.39607872556517,16.45796625713862,6.688241124119393,19.41567520289155,3.409024954511917,16.396078725565168,6.761655409394675,19.392621695487886,3.506425601986806,16.45796625713862,"[1477, 4541, 1983, 1616, 383]","[1306, 4727, 1938, 1671, 358]",w1.0_0.0_0.5_s123,0.06188753157344658,0.04272235966055634,0.08209654454271369,False,1.0
per_seed,w1.0_0.0_0.5,,,,,,,2024.0,16.593022477064775,16.653889792908775,6.89064401725136,19.40475691962683,3.5070621910905535,16.593022477064775,6.953792984036425,19.40019361774471,3.5302320257186857,16.653889792908778,"[1427, 4406, 2212, 1633, 322]","[1292, 4489, 2275, 1661, 283]",w1.0_0.0_0.5_s2024,0.06086731584399984,0.0420446806462275,0.08336886884885693,False,1.0
pooled,w1.0_0.0_0.5,,,,,,,,16.6326130910499,16.700651992269307,,,,,,,,,,,w1.0_0.0_0.5_pooled,0.06803890121940448,0.05596281500582394,0.08142787741275212,False,1.0
reward_stats,w1.0_1.0_0.5,30000.0,-4.215965747833252,1.4998723268508911,0.6381495804863109,1.5,True,,,,,,,,,,,,,,,,,,,
per_seed,w1.0_1.0_0.5,,,,,,,42.0,13.246488734374237,13.339041105457575,7.221370770015091,19.37473460100934,3.662249336145524,13.246488734374235,7.282361504421197,19.379840408087183,3.6332406030072226,13.339041105457564,"[1115, 4505, 2244, 1738, 398]","[1014, 4580, 2288, 1855, 263]",w1.0_1.0_0.5_s42,0.09255237108333719,0.012324891218063,0.17344132149827404,False,0.9874
