kind,cell,scenario,gw_level,seed,bc_return,cql_return,bc_actions,cql_actions,comparison,observed_difference,ci_lower,ci_upper,ci_contains_zero,p_positive,bc_delta_from_normal,cql_delta_from_normal
per_seed,drought_gw5,drought,5.0,42.0,12.986260744228725,13.190833290316302,"[1108, 4512, 2206, 1763, 411]","[1026, 4568, 2268, 1858, 280]",drought_gw5_s42,0.20457254608757808,0.11743947026643059,0.29712155171553306,False,1.0,0.14862409112785357,0.15047653974340136
per_seed,drought_gw5,drought,5.0,123.0,13.040574274368094,13.15823654058191,"[1485, 4552, 1987, 1580, 396]","[1303, 4817, 1993, 1615, 272]",drought_gw5_s123,0.11766226621381995,0.014344325138022378,0.23211015045095362,False,0.9874,0.1837648605455211,0.1788639419364273
per_seed,drought_gw5,drought,5.0,2024.0,13.076076620796002,13.215193454836864,"[1446, 4395, 2180, 1611, 368]","[1303, 4518, 2245, 1675, 259]",drought_gw5_s2024,0.13911683404086211,0.05713578111950195,0.22750968173976358,False,0.9996,0.14841890908400224,0.1388751202013747
pooled,drought_gw5,drought,5.0,,13.034303879797605,13.188087761911692,,,drought_gw5_pooled,0.1537838821140867,0.09850448155881654,0.21062550954127074,False,1.0,0.16026928691912445,0.15607186729373446
per_seed,drought_gw15,drought,15.0,42.0,-3.4698215393661904,-2.491818645372905,"[901, 4545, 2300, 1780, 474]","[895, 4802, 2311, 1818, 174]",drought_gw15_s42,0.978002893993285,0.4199624095644011,1.5196271934156464,False,0.9998,-0.5030240084922606,-0.4679392836159959
per_seed,drought_gw15,drought,15.0,123.0,-3.048134256613269,-0.8850855024021205,"[1421, 4315, 1927, 1689, 648]","[1098, 5270, 1907, 1577, 148]",drought_gw15_s123,2.1630487542111485,1.4512571119021351,2.9152330464972103,False,1.0,-0.4163907133065825,-0.4807031739638867
per_seed,drought_gw15,drought,15.0,2024.0,-3.446139098777061,-1.3632924980735164,"[1169, 4058, 2467, 1818, 488]","[1144, 4926, 2226, 1521, 183]",drought_gw15_s2024,2.082846600703544,1.3619203538843128,2.8107822636872393,False,1.0,-0.5232579555563062,-0.5374434507686064
pooled,drought_gw15,drought,15.0,,-3.32136496491884,-1.5800655486161808,,,drought_gw15_pooled,1.7412994163026592,1.3524213594548866,2.1468980465046035,False,1.0,-0.4808908924517161,-0.4953619694494964
per_seed,drought_gw25,drought,25.0,42.0,-51.78993911370085,-43.124254028035814,"[552, 5054, 2208, 1745, 441]","[1269, 4605, 2890, 1198, 38]",drought_gw25_s42,8.665685085665036,6.626109399320206,10.814211947874897,False,1.0,-1.3321870889106506,-1.2521156026474216
per_seed,drought_gw25,drought,25.0,123.0,-57.635290812633954,-36.231746391104345,"[865, 4710, 1737, 1781, 907]","[737, 5979, 2922, 349, 13]",drought_gw25_s123,21.403544421529617,18.589531285319584,24.275945201091513,False,1.0,-1.3166802700876161,-1.514989441197514
per_seed,drought_gw25,drought,25.0,2024.0,-61.63763878116879,-30.831883701903767,"[1275, 2899, 2907, 2145, 774]","[1290, 7153, 1460, 94, 3]",drought_gw25_s2024,30.805755079265015,28.07282175069602,33.469287252223275,False,1.0,-1.4292100128495093,-1.3731261673795352
pooled,drought_gw25,drought,25.0,,-57.02095623583453,-36.729294707014645,,,drought_gw25_pooled,20.29166152881989,18.773642750590913,21.80943810552878,False,1.0,-1.359359123949261,-1.3800770704081629
per_seed,normal_gw5,normal,5.0,42.0,12.837636653100871,13.0403567505729,"[1110, 4505, 2212, 1757, 416]","[1029, 4564, 2268, 1859, 280]",normal_gw5_s42,0.2027200974720299,0.11502418301804172,0.2952100364622392,False,1.0,0.0,0.0
per_seed,normal_gw5,normal,5.0,123.0,12.856809413822573,12.979372598645483,"[1486, 4550, 1980, 1583, 401]","[1306, 4815, 1991, 1614, 274]",normal_gw5_s123,0.12256318482291002,0.01872753991955068,0.23723117147999834,False,0.9908,0.0,0.0
per_seed,normal_gw5,normal,5.0,2024.0,12.927657711712,13.07631833463549,"[1446, 4394, 2174, 1617, 369]","[1299, 4522, 2244, 1675, 260]",normal_gw5_s2024,0.14866062292348783,0.06446015449597113,0.2407734397553614,False,0.9996,0.0,0.0
pooled,normal_gw5,normal,5.0,,12.87403459287848,13.032015894617958,,,normal_gw5_pooled,0.15798130173947592,0.10366475288071454,0.21352513998703668,False,1.0,0.0,0.0
per_seed,normal_gw15,normal,15.0,42.0,-2.96679753087393,-2.0238793617569093,"[905, 4548, 2304, 1764, 479]","[896, 4792, 2314, 1820, 178]",normal_gw15_s42,0.9429181691170199,0.39362928181092766,1.489817524761105,False,0.9996,0.0,0.0
per_seed,normal_gw15,normal,15.0,123.0,-2.6317435433066865,-0.4043823284382338,"[1421, 4303, 1926, 1686, 664]","[1089, 5269, 1916, 1578, 148]",normal_gw15_s123,2.2273612148684534,1.5295967160072992,2.9650044331331715,False,1.0,0.0,0.0
per_seed,normal_gw15,normal,15.0,2024.0,-2.9228811432207547,-0.8258490473049099,"[1172, 4073, 2462, 1804, 489]","[1137, 4921, 2234, 1523, 185]",normal_gw15_s2024,2.097032095915844,1.3942095288986887,2.800048494957345,False,1.0,0.0,0.0
pooled,normal_gw15,normal,15.0,,-2.8404740724671234,-1.0847035791666844,,,normal_gw15_pooled,1.7557704933004388,1.3760695996557768,2.155234329659552,False,1.0,0.0,0.0
per_seed,normal_gw25,normal,25.0,42.0,-50.457752024790196,-41.87213842538839,"[535, 5041, 2226, 1758, 440]","[1254, 4667, 2838, 1202, 39]",normal_gw25_s42,8.585613599401809,6.572940718307188,10.700336867094638,False,1.0,0.0,0.0
per_seed,normal_gw25,normal,25.0,123.0,-56.31861054254634,-34.71675694990683,"[871, 4693, 1739, 1773, 924]","[768, 6095, 2773, 348, 16]",normal_gw25_s123,21.601853592639497,18.811395659068033,24.457689154944813,False,1.0,0.0,0.0
per_seed,normal_gw25,normal,25.0,2024.0,-60.20842876831928,-29.45875753452423,"[1235, 2934, 2924, 2133, 774]","[1318, 7144, 1440, 95, 3]",normal_gw25_s2024,30.749671233795052,28.061244294867425,33.32873587931602,False,1.0,0.0,0.0
pooled,normal_gw25,normal,25.0,,-55.66159711188527,-35.34921763660649,,,normal_gw25_pooled,20.312379475278785,18.819032636552233,21.81120755055406,False,1.0,0.0,0.0
per_seed,high_gw5,high,5.0,42.0,12.563697383836853,12.770674094285841,"[1112, 4500, 2216, 1754, 418]","[1030, 4560, 2269, 1860, 281]",high_gw5_s42,0.20697671044898697,0.11615345577768567,0.30134448226643906,False,1.0,-0.2739392692640177,-0.2696826562870598
per_seed,high_gw5,high,5.0,123.0,12.573989476394514,12.705939297667305,"[1483, 4549, 1973, 1589, 406]","[1304, 4822, 1982, 1618, 274]",high_gw5_s123,0.1319498212727913,0.026874774667199647,0.2478994187298982,False,0.9948,-0.28281993742805867,-0.2734333009781782
per_seed,high_gw5,high,5.0,2024.0,12.660900362140342,12.821361583550742,"[1449, 4386, 2172, 1626, 367]","[1299, 4522, 2243, 1676, 260]",high_gw5_s2024,0.1604612214104003,0.0734936018000618,0.25287223511045565,False,0.9998,-0.2667573495716571,-0.25495675108474813
pooled,high_gw5,high,5.0,,12.599529074123902,12.765991658501298,,,high_gw5_pooled,0.1664625843773929,0.11116225062966732,0.22280576681419334,False,1.0,-0.2745055187545784,-0.26602423611666026
per_seed,high_gw15,high,15.0,42.0,-2.745321422230629,-1.8093438966117115,"[901, 4560, 2296, 1766, 477]","[890, 4786, 2326, 1817, 181]",high_gw15_s42,0.9359775256189171,0.39050087732627425,1.475960559725056,False,0.9996,0.22147610864330103,0.21453546514519783
per_seed,high_gw15,high,15.0,123.0,-2.3665914711763345,-0.18520933956935096,"[1421, 4314, 1921, 1683, 661]","[1085, 5272, 1916, 1574, 153]",high_gw15_s123,2.1813821316069832,1.4994057812679487,2.9140947066032936,False,1.0,0.26515207213035197,0.21917298886888284
per_seed,high_gw15,high,15.0,2024.0,-2.646844778292107,-0.5605109337119908,"[1164, 4088, 2453, 1805, 490]","[1138, 4922, 2234, 1516, 190]",high_gw15_s2024,2.0863338445801163,1.3965379138684122,2.787795649840883,False,1.0,0.2760363649286477,0.26533811359291914
pooled,high_gw15,high,15.0,,-2.5862525572330233,-0.8516880566310179,,,high_gw15_pooled,1.7345645006020058,1.356282177199923,2.1305485781681757,False,1.0,0.2542215152341005,0.23301552253566649
per_seed,high_gw25,high,25.0,42.0,-49.60194443709709,-41.08108598164773,"[535, 5013, 2232, 1768, 452]","[1207, 4739, 2797, 1213, 44]",high_gw25_s42,8.52085845544936,6.521649668360245,10.595596923200112,False,1.0,0.855807587693107,0.7910524437406607
per_seed,high_gw25,high,25.0,123.0,-55.285233085029105,-33.5051407310731,"[901, 4664, 1743, 1759, 933]","[797, 6210, 2631, 345, 17]",high_gw25_s123,21.780092353955997,19.009831263423223,24.599340037929785,False,1.0,1.0333774575172328,1.2116162188337327
per_seed,high_gw25,high,25.0,2024.0,-59.15266087466721,-28.477291307897534,"[1222, 2947, 2907, 2142, 782]","[1316, 7130, 1452, 99, 3]",high_gw25_s2024,30.67536956676968,27.982109784649094,33.245612759380194,False,1.0,1.0557678936520674,0.9814662266266971
pooled,high_gw25,high,25.0,,-54.67994613226447,-34.35450600687279,,,high_gw25_pooled,20.32544012539168,18.84535496084795,21.819765292404604,False,1.0,0.9816509796208024,0.9947116297336933
